Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,14,4,10,28.6%,13-24,35.1%,162-209,43.7%,6-5,54.5%,14,73.0%,13.7%,6.9%,2.6%,62.9%,67.6%,49.1%,60.7%,31.8%,46.7%,0.81
Clay,6,1,5,16.7%,6-11,35.3%,63-89,41.4%,2-1,66.7%,6,64.9%,17.3%,3.4%,4.0%,56.1%,64.5%,47.0%,56.8%,35.6%,46.8%,0.82
Grass,4,1,3,25.0%,3-7,30.0%,43-55,43.9%,1-1,50.0%,4,70.2%,18.4%,4.2%,2.6%,59.9%,66.8%,47.2%,59.0%,35.1%,46.7%,0.85
Grand Slams,4,1,3,25.0%,4-9,30.8%,56-74,43.1%,2-3,40.0%,4,72.6%,12.7%,7.7%,2.8%,59.4%,68.8%,46.3%,59.6%,33.2%,46.9%,0.82
Masters,1,0,1,0.0%,1-2,33.3%,13-16,44.8%,0-0,-,1,85.7%,6.7%,4.8%,3.6%,63.9%,71.7%,60.0%,67.5%,26.8%,47.3%,0.82
Other Tours,19,5,14,26.3%,17-31,35.4%,199-263,43.1%,7-4,63.6%,19,69.1%,16.7%,5.0%,2.9%,60.8%,65.9%,48.1%,58.9%,33.7%,46.7%,0.82
Best of 5,4,1,3,25.0%,4-9,30.8%,56-74,43.1%,2-3,40.0%,4,72.6%,12.7%,7.7%,2.8%,59.4%,68.8%,46.3%,59.6%,33.2%,46.9%,0.82
Best of 3,20,5,15,25.0%,18-33,35.3%,212-279,43.2%,7-4,63.6%,20,70.0%,16.0%,5.0%,3.0%,61.0%,66.2%,48.7%,59.4%,33.3%,46.7%,0.82
Quarter-finals,1,0,1,0.0%,1-2,33.3%,14-15,48.3%,0-0,-,1,71.4%,26.7%,5.4%,0.0%,62.0%,61.4%,54.3%,58.7%,41.9%,49.7%,1.01
vs Righties,19,5,14,26.3%,18-33,35.3%,210-283,42.6%,8-6,57.1%,19,70.5%,14.0%,6.0%,2.9%,61.0%,66.1%,49.8%,59.8%,31.8%,46.3%,0.79
vs Lefties,5,1,4,20.0%,4-9,30.8%,58-70,45.3%,1-1,50.0%,5,71.0%,20.3%,4.0%,3.1%,59.2%,69.0%,42.5%,58.2%,38.4%,48.2%,0.92
