Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2016 Australian Open R128,L vs Lisicki,95.1,98.9,2.5,,,103,93,88.9,1.9,,,92,85
2015 US Open R32,L vs Pennetta,93.1,96.5,3.0,,,102,90,86.1,3.2,,,92,80
2015 US Open R64,W vs Wozniacki,88.0,92.6,3.7,,,99,86,78.4,2.8,,,86,74
2015 Roland Garros R128,L vs Doi,94.5,96.0,3.0,,,103,90,88.0,1.6,,,90,85
2014 US Open R64,L vs Kvitova,94.8,99.1,3.7,,,107,93,85.4,4.3,,,90,68
2014 Roland Garros R128,L vs Lepchenko,89.0,95.6,4.0,,,104,89,83.1,5.0,,,101,75
2013 Wimbledon R32,L vs Stephens,91.6,,,,,105,,,,,,,79
2013 Wimbledon R64,W vs Wozniacki,95.4,,,,,105,,,,,,,79
2013 Roland Garros R32,L vs Vinci,90.3,,,,,102,,,,,,,79
2012 Roland Garros R64,L vs Johansson,90.8,,,,,103,,,,,,,78
2012 Australian Open R64,L vs Barthel,88.3,,,,,101,,,,,,,74
2012 Australian Open R128,W vs Morita,87.3,,,,,100,,,,,,,69
2011 Wimbledon R16,L vs Lisicki,95.3,99.9,3.9,,,107,93,88.2,3.3,,,95,81
2011 Wimbledon R32,W vs Ivanovic,94.1,98.8,3.9,,,105,91,86.0,3.2,,,92,80
Career (14 matches),,91.7,96.9,3.5,,,107,86,84.9,3.2,,,101,68
