Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,62,25,37,40.3%,57-86,39.9%,612-718,46.0%,10-3,76.9%,54,47.5%,4.8%,2.2%,7.7%,60.8%,59.7%,43.3%,53.3%,42.9%,48.2%,0.92
Clay,62,33,29,53.2%,75-67,52.8%,656-626,51.2%,3-3,50.0%,46,50.0%,11.1%,2.2%,6.3%,63.6%,60.4%,42.4%,53.8%,48.0%,50.8%,1.04
Grass,29,14,15,48.3%,32-35,47.8%,327-318,50.7%,3-8,27.3%,28,55.6%,11.1%,3.5%,5.8%,65.4%,65.5%,44.1%,58.1%,42.7%,50.3%,1.02
Carpet,4,1,3,25.0%,2-6,25.0%,32-43,42.7%,0-0,-,2,-,-,2.6%,7.9%,56.1%,68.8%,32.0%,52.6%,44.4%,48.6%,0.94
Grand Slams,42,19,23,45.2%,44-53,45.4%,436-452,49.1%,4-6,40.0%,33,66.7%,5.3%,3.5%,6.4%,62.9%,63.7%,43.8%,56.3%,42.4%,49.4%,0.97
Premiers,34,19,15,55.9%,41-40,50.6%,356-378,48.5%,3-2,60.0%,32,33.3%,4.3%,2.5%,7.8%,61.0%,61.3%,41.0%,53.4%,46.1%,49.7%,0.99
Internationals,62,28,34,45.2%,65-75,46.4%,655-664,49.7%,7-6,53.8%,50,-,-,2.0%,6.3%,64.0%,60.7%,43.0%,54.4%,45.2%,49.8%,0.99
Finals,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,-,-,1.8%,3.6%,67.3%,45.9%,33.3%,41.8%,42.6%,42.2%,0.73
Semi-finals,2,1,1,50.0%,2-3,40.0%,26-28,48.1%,1-0,100.0%,2,-,-,0.5%,7.5%,63.4%,53.4%,41.2%,48.9%,48.1%,48.5%,0.94
Quarter-finals,10,2,8,20.0%,7-17,29.2%,95-130,42.2%,1-1,50.0%,9,-,-,2.1%,6.7%,64.1%,54.0%,43.4%,50.2%,41.6%,45.9%,0.84
vs Righties,140,64,76,45.7%,148-176,45.7%,1467-1543,48.7%,15-13,53.6%,114,49.0%,5.9%,2.5%,6.9%,62.7%,61.5%,43.4%,54.7%,44.7%,49.7%,0.99
vs Lefties,14,7,7,50.0%,14-16,46.7%,131-140,48.3%,1-1,50.0%,13,50.0%,11.1%,1.9%,6.5%,62.4%,58.8%,39.6%,51.6%,44.1%,47.9%,0.91
vs Top 10,19,10,9,52.6%,20-24,45.5%,189-217,46.6%,4-0,100.0%,14,-,-,2.0%,6.6%,63.9%,59.4%,37.9%,51.7%,48.2%,49.9%,1.00
