Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2016,591,41,,,,,,,,,,,,
2015,130,423,,,,,,,,,813,27,,
2014,58,882,34,1862,46,1761,22,1811,32,1718,160,411,,
2013,139,451,65,1762,79,1670,44,1731,35,1687,305,205,,
2012,55,1089,29,1863,37,1793,31,1790,32,1715,111,668,,
2011,31,1666,35,1872,35,1803,45,1754,26,1750,151,508,,
2010,143,462,119,1663,140,1572,90,1644,,,122,601,,
2009,149,388,138,1629,149,1557,90,1636,115,1520,,,,
2008,83,410,109,1679,150,1556,52,1722,80,1586,,,,
2007,104,336,129,1628,146,1556,124,1562,98,1534,,,,
2006,214,123,,,,,,,,,,,,
2005,194,173,,,,,,,,,,,,
2004,447,36,,,,,,,,,,,,
2003,457,32,,,,,,,,,,,,
2002,271,90,,,,,,,,,,,,
2001,501,24,,,,,,,,,,,,
