Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1993,1178,1,,,,,,,,,1118,1,,
1992,147,,86,1773,81,1723,110,1668,45,1703,55,919,,
1991,58,,64,1814,61,1754,112,1671,35,1743,48,951,,
1990,71,,33,1878,24,1839,71,1709,19,1786,26,1172,,
1989,20,,21,1915,17,1893,64,1728,23,1780,17,,,
1988,23,,30,1881,23,1849,,,22,1766,8,,,
1987,37,,30,1891,25,1830,64,1723,16,1832,19,,,
1986,18,,15,1977,18,1878,40,1789,9,1891,32,,,
1985,10,,15,1991,19,1854,,,7,1982,28,,,
1984,15,,10,1999,10,1920,50,1777,5,1952,14,,,
1983,9,,10,1991,19,1892,57,1756,6,1927,,,,
1982,17,,11,2012,15,1904,51,1774,10,1905,,,,
1981,50,,51,1832,38,1779,88,1693,31,1784,,,,
1980,55,,42,1869,44,1772,,,29,1822,,,,
1979,197,,119,1637,128,1566,151,1533,90,1588,,,,
1978,91,,,,,,,,,,,,,
