Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2024 US Open R128,L vs Schoolkate,3.1,3.4,2.8,45.7%,66.7%,40.9%,27.3%,52.4%,10.7%,2.0,1.2,3.5,2.4
2024 Indian Wells R64,L vs De Minaur,4.5,5.0,4.0,31.8%,31.3%,43.8%,25.0%,56.7%,13.2%,-10.0,-12.5,-2.0,-3.4
2024 Dallas R16,L vs Paul,5.0,5.5,4.3,41.9%,40.9%,54.5%,33.3%,33.6%,13.5%,-4.0,-4.7,-5.5,-3.6
2024 Auckland F,L vs Tabilo,4.5,4.8,4.2,46.5%,57.7%,29.4%,31.3%,47.5%,21.8%,1.0,1.0,1.5,1.5
2022 Naples QF,L vs Berrettini,4.1,4.9,2.9,43.9%,43.8%,33.3%,25.0%,53.7%,13.3%,2.0,2.6,-4.0,-6.2
2022 Naples CH R32,W vs Martinez,6.2,6.5,5.9,60.0%,50.0%,77.8%,34.8%,51.5%,9.1%,6.0,4.1,12.5,10.0
2022 Seoul R32,W vs Gomez,5.3,5.3,5.4,55.0%,61.9%,54.2%,52.6%,53.5%,7.1%,9.5,6.2,6.0,4.6
2022 Belgrade QF,L vs Rublev,4.9,5.7,3.9,44.9%,30.8%,47.1%,26.7%,44.5%,2.5%,1.5,1.8,-7.5,-6.4
2019 Roland Garros R128,L vs Monfils,6.1,8.1,4.0,38.6%,45.7%,28.6%,35.3%,53.6%,11.8%,-8.5,-4.2,-5.5,-3.4
2019 Indian Wells R128,L vs Lajovic,6.1,6.3,5.8,50.7%,46.9%,57.1%,43.6%,45.2%,5.6%,4.5,2.4,4.0,1.8
2019 Australian Open R64,L vs Shapovalov,2.9,3.3,2.5,44.0%,50.0%,41.7%,28.6%,43.3%,6.9%,-2.5,-3.7,6.5,7.3
2018 Winston Salem QF,W vs Jarry,3.3,3.4,3.1,50.0%,68.6%,45.5%,45.5%,43.9%,3.4%,8.0,9.4,7.0,6.3
2018 Istanbul F,W vs Jaziri,6.5,7.8,5.3,52.5%,53.3%,50.0%,55.3%,47.3%,9.0%,8.0,3.8,10.0,4.4
2017 Canberra CH F,L vs Ebden,4.7,5.7,3.6,47.4%,56.5%,38.5%,47.6%,51.9%,6.5%,2.5,2.0,8.0,7.1
2016 Seville CH F,L vs Ruud,6.8,7.0,6.7,46.7%,40.9%,57.1%,46.7%,55.5%,4.5%,2.5,1.3,0.0,0.0
2016 Monte Carlo R32,L vs Thiem,5.9,6.9,4.9,46.7%,50.0%,50.0%,33.3%,49.7%,7.7%,2.5,1.5,-10.0,-6.0
2015 Casablanca R32,L vs Almagro,5.2,7.0,3.5,39.1%,36.4%,33.3%,37.5%,49.5%,5.8%,-1.0,-1.0,-6.5,-6.8
Career (17 matches),,4.8,5.5,4.2,46.2%,51.3%,47.6%,39.5%,49.1%,8.8%,1.4,1.1,1.1,0.8
