Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,8,2,6,25.0%,8-14,36.4%,101-115,46.8%,1-3,25.0%,8,81.0%,14.0%,7.4%,2.9%,63.5%,74.5%,46.6%,64.3%,30.8%,47.7%,0.86,QF (Chengdu)
2024,33,10,23,30.3%,26-54,32.5%,345-438,44.1%,3-10,23.1%,33,74.2%,15.2%,5.5%,2.6%,60.7%,66.9%,49.2%,60.0%,33.5%,47.0%,0.84,F (Auckland)
2023,27,11,16,40.7%,30-41,42.3%,317-359,46.9%,4-5,44.4%,27,73.1%,21.3%,4.5%,3.5%,59.7%,66.4%,52.5%,60.8%,36.7%,48.6%,0.94,QF (Acapulco)
2022,32,13,19,40.6%,35-46,43.2%,381-405,48.5%,7-5,58.3%,32,74.2%,21.9%,7.3%,2.2%,61.6%,71.1%,46.8%,61.8%,37.4%,49.6%,0.98,QF (2x)
2021,16,5,11,31.3%,16-28,36.4%,208-236,46.8%,2-6,25.0%,15,77.2%,16.0%,4.1%,2.8%,61.8%,69.1%,50.9%,62.1%,31.7%,47.7%,0.84,SF (Belgrade)
2020,5,1,4,20.0%,5-9,35.7%,61-75,44.9%,2-2,50.0%,5,76.9%,13.4%,8.9%,3.1%,59.2%,69.8%,52.9%,62.9%,34.6%,48.0%,0.93,R16 (Pune)
2019,30,13,17,43.3%,29-43,40.3%,314-365,46.2%,4-7,36.4%,30,70.7%,23.3%,4.4%,3.1%,64.6%,65.6%,47.8%,59.3%,36.7%,48.2%,0.90,QF (3x)
2018,36,17,19,47.2%,43-50,46.2%,423-474,47.2%,13-4,76.5%,36,72.3%,20.9%,4.6%,4.8%,59.2%,66.9%,49.8%,59.9%,36.6%,48.5%,0.91,W (Istanbul)
2017,14,4,10,28.6%,16-27,37.2%,178-228,43.8%,2-2,50.0%,14,69.0%,18.8%,3.4%,3.8%,64.8%,64.2%,46.1%,57.9%,35.2%,47.0%,0.83,QF (Estoril)
2016,26,10,16,38.5%,28-38,42.4%,299-338,46.9%,4-6,40.0%,26,72.2%,23.0%,4.1%,3.5%,65.1%,66.5%,49.7%,60.6%,37.6%,49.0%,0.95,R16 (5x)
2015,8,2,6,25.0%,8-15,34.8%,98-120,45.0%,3-0,100.0%,6,62.9%,14.1%,4.9%,2.6%,65.1%,61.8%,48.7%,57.2%,32.8%,45.1%,0.77,R16 (Valencia)
2014,9,2,7,22.2%,7-17,29.2%,104-137,43.2%,3-2,60.0%,7,66.7%,17.6%,1.8%,3.4%,64.8%,60.9%,49.7%,57.0%,32.2%,44.9%,0.75,QF (Vina del Mar)
Career,244,90,154,36.9%,251-382,39.7%,2829-3290,46.2%,48-52,48.0%,239,72.8%,19.7%,5.0%,3.3%,62.1%,67.2%,49.2%,60.3%,35.6%,48.1%,0.90,
