Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
1999 Wimbledon F,L vs Davenport,0.79,0.73,52.9,2.1,5.4%,81.1%,0.0%,50.0%,34.3%,27.3%
1999 Wimbledon SF,W vs Lucic,0.97,1.22,67.7,4.0,6.3%,60.4%,0.0%,66.7%,49.0%,42.6%
1999 Wimbledon QF,W vs Williams,1.02,1.14,68.9,2.5,6.0%,56.0%,0.0%,70.2%,39.5%,43.6%
1999 Roland Garros F,W vs Hingis,0.98,1.15,62.8,17.9,2.0%,60.8%,0.0%,51.1%,45.3%,58.0%
1999 Roland Garros SF,W vs Seles,1.10,1.17,67.8,4.7,3.7%,64.8%,2.0%,71.4%,31.9%,36.8%
1999 Indian Wells F,L vs Williams,0.92,0.82,72.8,5.7,0.0%,64.4%,2.5%,67.5%,27.7%,33.3%
1999 Tokyo QF,L vs Hingis,0.90,0.85,74.6,6.6,4.4%,53.3%,0.0%,53.7%,45.5%,41.9%
1999 Australian Open QF,L vs Seles,0.92,0.68,43.5,3.1,13.3%,46.7%,4.0%,48.0%,40.5%,37.1%
1998 WTA Tour Championships SF,L vs Davenport,0.86,0.83,64.8,4.7,12.8%,53.8%,8.1%,45.9%,55.8%,40.0%
1998 New Haven F,W vs Novotna,1.02,1.65,45.1,2.4,3.6%,71.4%,0.0%,60.0%,55.6%,54.2%
1997 Strasbourg F,W vs Lucic,0.98,1.27,60.1,2.7,0.0%,57.6%,3.3%,60.0%,50.0%,57.5%
1996 US Open F,W vs Seles,1.06,1.43,52.2,2.2,16.7%,75.0%,12.5%,62.5%,43.6%,39.5%
1996 US Open SF,W vs Hingis,1.06,1.31,56.9,3.6,5.3%,73.7%,5.4%,54.1%,42.5%,45.9%
1996 Wimbledon F,W vs Sanchez Vicario,1.17,1.42,46.0,2.2,5.0%,62.5%,2.7%,62.2%,47.1%,44.1%
1996 Wimbledon SF,W vs Date Krumm,1.13,1.23,54.8,2.0,6.0%,54.0%,4.3%,63.0%,37.5%,53.8%
1996 Roland Garros SF,W vs Martinez,1.03,1.51,41.8,2.0,4.0%,68.0%,4.3%,56.5%,58.8%,51.5%
1996 Key Biscayne F,W vs Rubin,1.24,1.90,39.7,2.1,4.3%,60.9%,0.0%,72.7%,69.6%,31.8%
1996 Indian Wells F,W vs Martinez,1.07,1.18,74.6,2.8,6.5%,76.1%,4.5%,43.2%,46.0%,42.6%
1995 WTA Tour Championships F,W vs Huber,1.00,1.25,49.5,2.6,5.6%,63.9%,6.1%,63.6%,47.8%,43.1%
1995 US Open F,W vs Seles,1.18,1.18,67.2,2.8,11.8%,66.7%,2.1%,59.6%,40.8%,31.8%
1999 (8 matches),,0.96,0.99,64.9,3.9,4.7%,61.1%,0.9%,61.0%,39.5%,41.0%
1998 (2 matches),,0.92,1.08,57.0,3.1,9.0%,61.2%,4.8%,51.6%,55.7%,45.3%
1997 (1 matches),,0.98,1.27,60.1,2.7,0.0%,57.6%,3.3%,60.0%,50.0%,57.5%
1996 (7 matches),,1.11,1.37,54.3,2.3,7.0%,67.1%,5.0%,58.1%,47.7%,44.8%
1995 (9 matches),,1.09,1.32,62.4,2.6,6.8%,65.0%,1.9%,58.8%,45.7%,46.2%
Career (121 matches),,1.04,1.23,57.4,2.8,4.2%,60.9%,3.1%,60.5%,46.5%,46.1%
