Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
1999 Wimbledon F,L vs Davenport,30.4%,39.1%,52.1%,30.2%,39.5%,50.0%,45.5%,47.6%,100.0%,30.8%,38.5%,55.6%,90.0%,50.0%,-,-104
1999 Wimbledon SF,W vs Lucic,31.2%,35.5%,48.4%,37.3%,42.4%,59.5%,57.1%,41.9%,66.7%,21.9%,25.0%,32.0%,23.1%,31.6%,0.0%,-33
1999 Wimbledon QF,W vs Williams,21.6%,28.9%,54.8%,23.9%,31.0%,51.9%,63.6%,28.9%,22.2%,17.4%,26.1%,63.2%,66.7%,9.1%,0.0%,35
1999 Roland Garros F,W vs Hingis,9.2%,20.4%,54.2%,12.7%,21.8%,56.3%,41.7%,48.4%,50.0%,5.4%,21.6%,51.4%,57.1%,62.5%,80.0%,-64
1999 Roland Garros SF,W vs Seles,20.4%,28.2%,63.6%,21.9%,32.8%,64.0%,18.5%,54.1%,50.0%,20.6%,23.5%,63.0%,6.3%,61.1%,0.0%,51
1999 Indian Wells F,L vs Williams,24.7%,30.6%,57.4%,24.1%,32.8%,63.6%,39.3%,53.3%,0.0%,29.2%,29.2%,41.2%,77.8%,46.7%,0.0%,30
1999 Hanover QF,W vs Schett,29.5%,34.4%,47.6%,45.9%,51.4%,45.0%,35.3%,50.0%,50.0%,4.3%,8.7%,50.0%,25.0%,9.1%,33.3%,-71
1999 Tokyo QF,L vs Hingis,20.9%,27.9%,44.4%,30.0%,38.0%,42.9%,56.5%,59.3%,33.3%,9.7%,16.1%,46.4%,46.7%,37.5%,25.0%,-23
1999 Australian Open QF,L vs Seles,18.2%,29.1%,38.5%,21.9%,40.6%,48.0%,16.7%,60.0%,100.0%,17.6%,17.6%,21.4%,30.0%,28.6%,0.0%,38
1999 Sydney R16,W vs Williams,28.6%,33.7%,50.0%,34.9%,39.7%,58.5%,32.1%,48.6%,33.3%,22.2%,29.6%,33.3%,15.4%,64.3%,-,17
1998 WTA Tour Championships SF,L vs Davenport,19.7%,31.6%,39.0%,23.2%,37.5%,41.9%,30.8%,43.3%,55.6%,11.1%,16.7%,31.3%,11.1%,44.4%,0.0%,-4
1998 Philadelphia F,W vs Davenport,29.6%,35.7%,43.5%,41.0%,47.5%,50.0%,37.5%,48.3%,55.6%,13.3%,20.0%,34.6%,30.8%,17.6%,0.0%,6
1998 Leipzig F,W vs Tauziat,21.7%,33.3%,57.1%,28.2%,43.6%,60.7%,36.8%,35.0%,0.0%,12.5%,18.8%,50.0%,28.6%,55.6%,100.0%,-33
1998 New Haven F,W vs Novotna,24.5%,32.1%,56.4%,25.0%,32.5%,56.7%,45.0%,55.0%,50.0%,25.0%,33.3%,55.6%,80.0%,42.9%,0.0%,-11
1997 Strasbourg F,W vs Lucic,30.2%,33.3%,46.2%,37.1%,42.9%,54.5%,38.9%,52.9%,0.0%,26.1%,26.1%,35.3%,22.2%,64.3%,0.0%,111
1996 WTA Tour Championships F,W vs Hingis,21.1%,30.9%,42.5%,26.5%,40.2%,44.0%,45.1%,37.3%,14.3%,11.6%,14.0%,39.5%,29.4%,23.1%,66.7%,1
1996 US Open F,W vs Seles,33.8%,41.2%,55.8%,43.8%,54.2%,66.7%,65.0%,60.7%,-,11.1%,11.1%,37.5%,88.9%,55.6%,0.0%,-4
1996 US Open SF,W vs Hingis,18.7%,28.0%,56.7%,26.5%,36.7%,61.1%,65.2%,42.3%,0.0%,4.0%,12.0%,50.0%,58.3%,53.8%,-,-74
1996 Wimbledon SF,W vs Date Krumm,25.0%,28.1%,46.4%,32.7%,34.7%,45.5%,56.5%,50.0%,83.3%,18.2%,22.7%,47.2%,72.2%,42.3%,25.0%,-27
1996 Wimbledon F,W vs Sanchez Vicario,18.2%,29.9%,57.6%,18.9%,35.8%,60.5%,69.2%,63.0%,75.0%,20.0%,20.0%,50.0%,62.5%,25.0%,0.0%,73
Career (158 matches),,19.5%,29.4%,52.4%,23.3%,34.5%,54.8%,50.4%,55.4%,54.5%,14.2%,22.9%,47.8%,53.4%,49.1%,44.7%,1
