Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,394,354,40,89.8%,701-111,86.3%,4631-2156,68.2%,28-23,54.9%,0,,,,,,,,,,,
Clay,306,273,33,89.2%,541-103,84.0%,3629-1815,66.7%,29-18,61.7%,0,,,,,,,,,,,
Grass,98,84,14,85.7%,166-42,79.8%,1163-635,64.7%,6-5,54.5%,0,,,,,,,,,,,
Carpet,200,175,25,87.5%,347-75,82.2%,2335-1237,65.4%,17-13,56.7%,0,,,,,,,,,,,
Grand Slams,310,278,32,89.7%,554-102,84.5%,3759-1875,66.7%,25-22,53.2%,0,,,,,,,,,,,
Premiers,6,5,1,83.3%,9-2,81.8%,61-34,64.2%,0-0,-,0,,,,,,,,,,,
Finals,139,107,32,77.0%,219-97,69.3%,1680-1195,58.4%,15-15,50.0%,0,,,,,,,,,,,
Semi-finals,162,137,25,84.6%,267-73,78.5%,1856-1115,62.5%,23-18,56.1%,0,,,,,,,,,,,
Quarter-finals,180,163,17,90.6%,322-53,85.9%,2132-1031,67.4%,14-11,56.0%,0,,,,,,,,,,,
vs Righties,676,597,79,88.3%,1176-238,83.2%,7943-4100,66.0%,66-44,60.0%,0,,,,,,,,,,,
vs Lefties,63,45,18,71.4%,94-46,67.1%,726-518,58.4%,5-9,35.7%,0,,,,,,,,,,,
vs Top 10,273,208,65,76.2%,419-175,70.5%,3159-2179,59.2%,33-34,49.3%,0,,,,,,,,,,,
