Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,1,0,1,0.0%,1-2,33.3%,13-17,43.3%,0-0,-,1,40.0%,46.7%,0.0%,6.5%,59.8%,54.7%,39.5%,48.6%,48.1%,48.4%,0.94,R32 (Hiroshima)
2018,2,0,2,0.0%,0-4,0.0%,10-24,29.4%,0-0,-,2,29.4%,29.4%,0.8%,4.7%,65.4%,50.6%,31.8%,44.1%,42.1%,43.1%,0.75,R32 (2x)
2016,2,0,2,0.0%,1-4,20.0%,20-27,42.6%,0-0,-,2,54.2%,30.4%,0.0%,7.0%,61.3%,59.8%,43.6%,53.5%,42.1%,47.9%,0.91,R32 (2x)
2015,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-1,0.0%,1,45.5%,40.0%,0.0%,9.7%,59.7%,59.5%,44.0%,53.2%,43.7%,48.1%,0.93,R32 (Kuala Lumpur)
2011,7,3,4,42.9%,7-9,43.8%,65-78,45.5%,0-1,0.0%,4,-,-,2.2%,6.9%,60.8%,54.6%,31.9%,45.7%,37.2%,41.4%,0.69,
2010,4,1,3,25.0%,2-6,25.0%,26-42,38.2%,0-0,-,4,-,-,2.0%,7.1%,60.9%,56.5%,38.4%,49.4%,43.0%,46.3%,0.85,R16 (Osaka)
2009,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,-,-,0.0%,13.6%,47.5%,60.7%,35.5%,47.5%,42.1%,44.4%,0.80,R32 (Seoul)
2008,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,-,-,2.1%,10.4%,47.9%,60.9%,36.0%,47.9%,34.0%,41.1%,0.65,R32 (Pattaya)
2007,1,0,1,0.0%,0-2,0.0%,7-13,35.0%,0-0,-,1,-,-,1.3%,6.6%,59.2%,51.1%,51.6%,51.3%,40.5%,46.0%,0.83,R32 (Seoul)
2006,4,2,2,50.0%,2-5,28.6%,20-36,35.7%,0-0,-,0,,,,,,,,,,,,QF (Japan Open)
2005,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,0,,,,,,,,,,,,R32 (Kolkata)
Career,25,6,19,24.0%,13-40,24.5%,185-286,39.3%,0-2,0.0%,17,43.3%,35.4%,1.2%,7.3%,59.9%,55.7%,38.1%,48.6%,41.5%,45.1%,0.81,
