Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,13,8,5,61.5%,18-13,58.1%,154-140,52.4%,2-2,50.0%,13,62.8%,42.1%,1.8%,3.5%,62.3%,61.6%,44.4%,55.1%,46.4%,50.9%,1.03,SF (2x)
2025,31,16,15,51.6%,40-34,54.1%,353-331,51.6%,7-2,77.8%,31,66.6%,36.5%,4.3%,4.7%,62.6%,64.5%,45.0%,57.2%,43.9%,50.5%,1.03,SF (2x)
2024,46,22,24,47.8%,48-52,48.0%,426-449,48.7%,3-7,30.0%,0,,,,,,,,,,,,W (W15 Tbilisi)
2023,27,6,21,22.2%,17-43,28.3%,221-306,41.9%,1-2,33.3%,1,25.0%,14.3%,4.1%,6.1%,57.1%,50.0%,33.3%,42.9%,37.5%,40.2%,0.66,QF (3x)
2022,50,25,25,50.0%,58-59,49.6%,532-563,48.6%,7-8,46.7%,0,,,,,,,,,,,,SF (W25 Gurugram)
2021,45,23,22,51.1%,48-51,48.5%,447-448,49.9%,4-4,50.0%,1,12.5%,44.4%,0.0%,3.8%,73.6%,43.6%,14.3%,35.8%,41.8%,38.9%,0.65,F (2x)
2020,5,2,3,40.0%,5-7,41.7%,50-60,45.5%,0-0,-,0,,,,,,,,,,,,R16 (2x)
2019,27,8,19,29.6%,19-43,30.6%,245-327,42.8%,3-5,37.5%,0,,,,,,,,,,,,QF (W25 Jerusalem)
2018,43,20,23,46.5%,45-53,45.9%,423-477,47.0%,5-3,62.5%,0,,,,,,,,,,,,SF (Petange $25K)
2017,36,18,18,50.0%,44-38,53.7%,387-353,52.3%,2-2,50.0%,0,,,,,,,,,,,,F (Stockholm $15K)
2016,32,12,20,37.5%,27-43,38.6%,277-326,45.9%,2-3,40.0%,0,,,,,,,,,,,,SF (Aurangabad $25K)
2015,50,25,25,50.0%,53-54,49.5%,464-461,50.2%,3-2,60.0%,0,,,,,,,,,,,,F (Madrid $10K)
2014,41,24,17,58.5%,55-39,58.5%,462-390,54.2%,3-3,50.0%,0,,,,,,,,,,,,W (Astana 10K)
2013,40,19,21,47.5%,44-44,50.0%,391-381,50.6%,3-4,42.9%,0,,,,,,,,,,,,W (Shymkent 10K)
2012,47,24,23,51.1%,53-54,49.5%,479-493,49.3%,7-3,70.0%,0,,,,,,,,,,,,F (2x)
2011,40,21,19,52.5%,48-44,52.2%,431-428,50.2%,4-5,44.4%,0,,,,,,,,,,,,W (2x)
2010,6,2,4,33.3%,4-9,30.8%,57-73,43.8%,1-1,50.0%,0,,,,,,,,,,,,R16 (2x)
2008,2,0,2,0.0%,1-4,20.0%,19-31,38.0%,1-1,50.0%,0,,,,,,,,,,,,R32 (2x)
Career,581,275,306,47.3%,627-684,47.8%,5818-6037,49.1%,58-57,50.4%,46,63.9%,38.0%,3.5%,4.3%,62.6%,63.1%,44.3%,56.0%,44.5%,50.3%,1.01,
