Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 ITF Aschaffenburg R32,W vs Okutoyi,0.0%,-,6.8%,75.0%,11.9%,17.1%,0.0%,13.0%,30.0%,6.7%,13.3%,-76,-34
2022 ITF Cordenons R16,L vs Fruhvirtova,0.8%,0.0%,12.7%,71.9%,10.6%,12.7%,0.0%,7.6%,25.0%,8.9%,33.3%,-17,-21
Last 52 Weeks (1 matches),,0.0%,-,6.8%,75.0%,11.9%,17.1%,0.0%,13.0%,30.0%,6.7%,13.3%,-76,-34
Career (2 matches),,0.5%,0.0%,10.8%,72.5%,11.0%,14.3%,0.0%,9.0%,27.1%,8.3%,29.0%,-34,-25
