Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),1213,8,,,,,,,,,,,,
2025,941,20,,,,,,,,,,,,
2024,176,326,180,1577,182,1521,201,1499,130,1529,333,188,,
2023,162,387,231,1516,229,1469,221,1467,152,1493,,,,
2022,156,360,171,1598,173,1535,169,1542,138,1508,,,,
2021,367,119,,,,,,,,,,,,
2020,474,75,,,,,,,,,419,105,,
2019,451,70,394,1337,363,1326,420,1223,,,399,104,,
2018,496,12,,,,,,,,,687,6,,
2017,513,65,,,,,,,,,605,80,,
2016,768,25,,,,,,,,,,,,
2015,2147,1,,,,,,,,,,,,
