Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2024 Saint-Tropez CH F,W vs Pouille,27% (3/11),67% (2/3),0/1,36% (4/11),75% (3/4),1/1,0/1,0/0,0/1,0/0
2023 Wimbledon R128,L vs Zverev,12% (2/17),0% (0/2),0/1,6% (1/17),0% (0/1),0/0,0/0,3/3,0/0,2/2
2023 Houston SF,L vs Tiafoe,0% (0/8),- (0/0),0/3,44% (4/9),0% (0/4),0/0,0/0,1/2,0/0,0/1
2023 Houston R16,W vs Isner,9% (1/11),100% (1/1),0/0,0% (0/11),- (0/0),1/1,1/1,2/2,0/0,0/0
2023 Rotterdam QF,L vs Griekspoor,30% (3/10),0% (0/3),0/2,20% (2/10),0% (0/2),0/0,0/0,2/2,0/0,1/1
2023 Rotterdam R32,W vs Huesler,30% (3/10),67% (2/3),0/0,9% (1/11),100% (1/1),2/2,2/2,1/1,1/1,0/0
2022 US Open R64,L vs Musetti,20% (4/20),25% (1/4),1/5,26% (5/19),0% (0/5),1/1,0/0,1/1,0/0,0/0
2022 US Open R128,W vs Mannarino,29% (4/14),100% (4/4),0/1,20% (3/15),67% (2/3),3/4,3/3,0/0,1/1,0/0
2022 Houston QF,L vs Opelka,9% (1/11),100% (1/1),0/3,30% (3/10),0% (0/3),0/1,0/0,1/1,0/0,0/0
2022 Houston R16,W vs Wolf,86% (6/7),83% (5/6),0/0,14% (1/7),100% (1/1),4/4,1/1,0/0,1/1,0/0
2021 M25 Champaign IL F,L vs Shelton,50% (5/10),60% (3/5),1/4,64% (7/11),29% (2/7),2/3,0/1,1/2,0/0,0/1
2019 Amersfoort CH R64,L vs Rune,11% (1/9),100% (1/1),1/4,44% (4/9),0% (0/4),1/1,0/0,1/1,0/0,0/0
2019 M25 Casinalbo QF,W vs Sakamoto,42% (5/12),60% (3/5),0/1,38% (6/16),33% (2/6),3/3,2/2,1/3,1/1,0/0
2019 M25 Cuneo R32,W vs Cutuli,50% (6/12),100% (6/6),1/1,21% (3/14),33% (1/3),4/5,2/3,0/0,1/1,0/0
2019 M25 Tulsa OK QF,L vs Redlicki,11% (1/9),0% (0/1),0/2,33% (3/9),0% (0/3),0/0,0/0,1/2,0/0,0/1
2019 M25 Tulsa OK R16,W vs Zhu,40% (6/15),67% (4/6),0/2,33% (5/15),40% (2/5),3/3,2/2,0/1,1/1,0/0
2019 M25 Tulsa OK R32,W vs Ponwith,58% (7/12),71% (5/7),2/2,31% (4/13),50% (2/4),3/4,1/2,0/0,0/0,0/0
2019 Shymkent CH R64,L vs Simon,19% (3/16),67% (2/3),0/2,20% (3/15),33% (1/3),1/1,0/0,1/1,0/0,0/0
2019 M25 Sunderland R16,L vs Mertens,30% (3/10),100% (3/3),1/6,70% (7/10),14% (1/7),1/3,0/0,1/1,0/0,0/0
2019 M25 Sunderland R32,W vs Matusevich,40% (4/10),100% (4/4),0/1,20% (2/10),50% (1/2),2/2,0/0,0/0,0/0,0/0
2024 (1 matches),,27.3%,66.7%,0.0%,36.4%,75.0%,100.0%,0.0%,-,0.0%,-
2023 (5 matches),,16.1%,33.3%,0.0%,13.8%,12.5%,100.0%,100.0%,90.0%,100.0%,75.0%
2022 (4 matches),,28.8%,73.3%,11.1%,23.5%,25.0%,80.0%,100.0%,100.0%,100.0%,-
2021 (1 matches),,50.0%,60.0%,25.0%,63.6%,28.6%,66.7%,0.0%,50.0%,-,0.0%
2019 (32 matches),,35.7%,76.7%,25.3%,36.5%,34.8%,78.4%,84.8%,61.5%,93.3%,55.6%
Career (44 matches),,32.6%,73.5%,22.2%,33.9%,32.6%,78.3%,83.3%,66.7%,89.5%,53.3%
