Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Australian Open R64,L vs Mboko,9.1%,16.7%,48.1%,11.6%,20.9%,55.3%,38.1%,31.8%,16.7%,5.9%,11.8%,31.3%,28.6%,40.0%,0.0%,-69
2025 Guangzhou QF,L vs Sun,25.2%,35.0%,53.4%,27.4%,41.1%,52.8%,47.2%,29.7%,28.6%,23.1%,23.1%,55.0%,33.3%,0.0%,0.0%,57
2025 US Open R64,L vs Navarro,18.5%,24.1%,23.7%,25.0%,33.3%,29.6%,38.9%,16.7%,25.0%,8.3%,8.3%,9.1%,20.0%,28.6%,100.0%,-55
2025 ITF Evansville F,W vs Vidmanova,21.5%,25.3%,55.4%,20.4%,25.9%,48.8%,51.7%,36.0%,50.0%,31.6%,31.6%,76.9%,33.3%,7.7%,100.0%,157
2025 Wimbledon R64,L vs Swiatek,28.1%,33.7%,40.0%,30.3%,37.9%,45.7%,37.9%,21.6%,16.7%,26.3%,26.3%,21.4%,27.3%,0.0%,0.0%,106
2022 Ostrava QF,L vs Swiatek,18.1%,29.2%,41.4%,18.5%,31.5%,38.6%,48.0%,48.3%,62.5%,17.6%,23.5%,50.0%,33.3%,25.0%,0.0%,-37
2022 Ostrava R16,W vs Muchova,14.7%,25.0%,58.6%,15.9%,27.3%,59.5%,50.0%,45.5%,100.0%,12.5%,20.8%,57.1%,10.0%,42.9%,100.0%,-104
2019 Cincinnati R64,L vs Mertens,11.3%,17.7%,43.8%,14.7%,20.6%,41.4%,50.0%,5.6%,0.0%,9.5%,19.0%,47.4%,33.3%,0.0%,0.0%,-36
2019 Washington QF,W vs Hsieh,28.1%,31.6%,50.0%,40.0%,43.3%,44.4%,54.5%,15.8%,0.0%,20.0%,25.0%,56.3%,46.2%,0.0%,0.0%,52
2019 Washington R16,W vs Mchale,27.1%,31.8%,38.6%,39.6%,45.3%,34.4%,67.9%,24.0%,50.0%,17.4%,21.7%,42.1%,31.8%,8.3%,20.0%,52
2019 Indian Wells R128,L vs Pera,19.2%,26.0%,35.8%,26.3%,36.8%,39.3%,66.7%,29.4%,40.0%,13.8%,17.2%,32.0%,81.8%,5.6%,16.7%,13
2019 ITF Midland SF,W vs Peterson,34.9%,51.2%,70.4%,43.3%,60.0%,82.4%,38.5%,17.6%,-,16.7%,33.3%,50.0%,83.3%,33.3%,0.0%,-11
Last 52 Weeks (5 matches),,21.5%,28.1%,45.9%,23.9%,33.1%,47.8%,43.6%,27.3%,27.6%,20.4%,21.5%,40.5%,29.3%,13.5%,20.0%,65
Career (12 matches),,21.5%,28.9%,46.1%,25.8%,35.1%,47.1%,49.4%,28.0%,37.7%,17.2%,21.8%,44.2%,37.9%,14.5%,20.6%,44
