Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,12,7,5,58.3%,2,0,2,0.0%,2020,2026,R64,12,1.09,1.9%,7.1%,65.5%,64.9%,43.5%,57.5%,46.3%,65.6%,50.0%
Roland Garros,3,Clay,4,1,3,25.0%,1,0,1,0.0%,2020,2022,Q2,4,0.99,2.0%,8.8%,71.3%,62.6%,35.3%,54.7%,44.8%,52.5%,50.0%
Wimbledon,4,Grass,9,5,4,55.6%,4,2,2,50.0%,2019,2025,R64,9,1.05,3.0%,7.9%,63.3%,65.3%,44.6%,57.7%,44.5%,50.0%,41.9%
US Open,6,Hard,11,5,6,45.5%,1,1,0,100.0%,2018,2025,R32,11,0.95,2.9%,6.4%,65.7%,61.6%,43.5%,55.4%,42.3%,50.6%,58.0%
Miami,5,Hard,7,2,5,28.6%,3,1,2,33.3%,2019,2026,R32,7,0.96,2.1%,4.9%,70.8%,64.1%,40.6%,57.3%,41.0%,47.2%,36.6%
Indian Wells,5,Hard,10,5,5,50.0%,3,2,1,66.7%,2019,2026,R64,10,0.92,1.2%,7.4%,61.7%,62.7%,42.4%,54.9%,41.4%,58.6%,37.5%
Austin,2,Hard,3,1,2,33.3%,1,0,1,0.0%,2023,2026,R16,3,0.87,1.1%,2.8%,68.7%,53.7%,51.8%,53.1%,40.6%,56.5%,40.0%
Ostrava,2,Hard,8,6,2,75.0%,0,0,0,-,2022,2026,QF,8,1.21,3.0%,2.0%,72.9%,61.8%,51.1%,58.9%,49.6%,60.3%,50.0%
Auckland,2,Hard,5,2,3,40.0%,1,0,1,0.0%,2020,2026,R32,5,0.97,3.2%,6.4%,62.7%,61.8%,40.4%,53.8%,44.9%,51.0%,55.1%
Cincinnati,5,Hard,7,2,5,28.6%,4,1,3,25.0%,2019,2025,R32,7,0.91,3.3%,6.9%,66.0%,58.6%,48.4%,55.2%,40.8%,50.9%,37.7%
