Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2003 Australian Open QF,L vs Roddick,3.7,3.7,3.7,49.8%,42.7%,52.8%,46.4%,56.0%,61.9%,34.0,9.8,-3.0,-2.9
Career (1 matches),,3.7,3.7,3.7,49.8%,42.7%,52.8%,46.4%,56.0%,61.9%,34.0,9.8,-3.0,-2.9
