Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2017 Bangkok CH F,L vs Tipsarevic,0.0%,-,4.0%,40.0%,4.5%,13.8%,0.0%,1.2%,3.8%,0.0%,-,-146,-142
2015 Fairfield CH R16,W vs Jung,1.6%,0.0%,4.1%,66.7%,7.1%,12.8%,0.0%,1.1%,16.7%,0.3%,100.0%,-87,-61
2015 Doha R16,L vs Berdych,2.2%,100.0%,2.2%,50.0%,7.1%,16.7%,0.0%,6.5%,16.7%,1.8%,66.7%,-112,-80
2014 Portoroz CH F,W vs Muller,0.0%,-,7.5%,73.3%,13.4%,37.5%,21.4%,4.7%,0.0%,0.0%,-,-91,-63
2014 Australian Open R64,L vs Federer,4.3%,25.0%,8.0%,35.7%,8.6%,2.2%,18.2%,3.1%,16.7%,1.2%,33.3%,-83,-78
2011 Australian Open R64,L vs Youzhny,13.1%,66.7%,15.6%,57.8%,10.8%,23.1%,0.0%,7.9%,18.4%,0.8%,25.0%,-104,-77
Career (6 matches),,4.9%,58.3%,8.5%,56.3%,8.4%,15.0%,11.9%,3.8%,11.8%,0.6%,45.5%,-106,-85
