Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,69,27,42,39.1%,85-105,44.7%,902-961,48.4%,12-18,40.0%,57,70.1%,24.0%,5.5%,4.8%,62.6%,67.2%,45.3%,59.0%,38.1%,48.7%,0.93
Clay,60,26,34,43.3%,72-86,45.6%,692-749,48.0%,7-4,63.6%,49,64.8%,25.9%,3.7%,4.6%,63.6%,62.2%,47.9%,57.0%,39.5%,48.3%,0.92
Grass,16,3,13,18.8%,14-31,31.1%,184-249,42.5%,5-2,71.4%,16,70.3%,14.7%,7.8%,5.0%,61.9%,69.9%,44.7%,60.3%,33.7%,46.8%,0.85
Carpet,3,2,1,66.7%,5-4,55.6%,43-38,53.1%,1-0,100.0%,0,,,,,,,,,,,
Grand Slams,33,12,21,36.4%,48-67,41.7%,513-605,45.9%,9-9,50.0%,32,68.7%,23.5%,5.1%,4.6%,63.1%,65.8%,45.8%,58.4%,38.2%,48.4%,0.92
Masters,3,0,3,0.0%,1-6,14.3%,28-41,40.6%,0-1,0.0%,3,55.9%,26.5%,5.3%,4.9%,56.7%,60.4%,39.6%,51.4%,40.1%,45.9%,0.83
Other Tours,86,29,57,33.7%,74-120,38.1%,834-1001,45.4%,12-10,54.5%,85,68.1%,22.8%,5.0%,4.7%,63.2%,65.6%,46.7%,58.6%,37.5%,48.2%,0.91
Best of 5,54,25,29,46.3%,92-97,48.7%,891-920,49.2%,12-12,50.0%,33,68.5%,24.3%,5.0%,4.7%,62.9%,65.8%,45.7%,58.3%,38.5%,48.5%,0.92
Best of 3,94,33,61,35.1%,84-129,39.4%,930-1077,46.3%,13-12,52.0%,89,68.0%,22.9%,5.2%,4.7%,62.9%,65.7%,46.4%,58.5%,37.7%,48.2%,0.91
Quarter-finals,4,0,4,0.0%,0-8,0.0%,25-49,33.8%,0-1,0.0%,4,57.1%,13.2%,4.2%,7.5%,63.1%,59.3%,46.8%,54.7%,35.9%,44.7%,0.79
vs Righties,132,49,83,37.1%,152-208,42.2%,1615-1817,47.1%,25-22,53.2%,110,68.0%,22.4%,5.2%,4.9%,62.7%,65.7%,46.2%,58.4%,37.6%,48.1%,0.90
vs Lefties,15,8,7,53.3%,22-18,55.0%,194-179,52.0%,0-2,0.0%,12,70.4%,33.8%,4.7%,3.3%,64.8%,66.1%,45.4%,58.8%,42.2%,50.6%,1.02
vs Top 10,12,0,12,0.0%,3-27,10.0%,87-177,33.0%,0-1,0.0%,11,54.6%,12.0%,2.4%,5.3%,64.3%,57.5%,43.2%,52.4%,32.4%,42.8%,0.68
