Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2018 Australian Open R128,L vs Gasquet,15,28,0.5,8.6%,16.0%,15,28,0.5,9.4%,17.5%,,,0.8,18.3%,22.9%
2017 Bangkok  CH F,L vs Tipsarevic,10,32,0.3,12.2%,39.0%,9,29,0.3,11.7%,37.7%,10.4%,1.3%,0.5,17.1%,37.8%
2015 Fairfield CH R16,W vs Jung,15,34,0.4,10.3%,23.3%,11,29,0.4,8.5%,22.3%,5.4%,0.8%,0.3,11.6%,35.6%
2015 Wimbledon R64,L vs Simon,23,32,0.7,10.7%,15.0%,20,23,0.9,10.3%,11.9%,5.7%,4.1%,1.8,20.1%,11.2%
2015 Wimbledon R128,W vs Sugita,26,35,0.7,11.8%,15.9%,13,31,0.4,6.8%,16.3%,5.3%,1.6%,0.7,15.9%,21.8%
2015 Australian Open R128,L vs Duckworth,41,57,0.7,12.6%,17.5%,34,49,0.7,11.8%,17.0%,8.0%,3.8%,0.8,18.8%,24.6%
2015 Doha R16,L vs Berdych,7,16,0.4,7.8%,17.8%,6,13,0.5,7.3%,15.9%,4.9%,2.4%,1.6,24.4%,15.6%
2014 US Open R64,W vs Chardy,27,19,1.4,12.9%,9.0%,19,13,1.5,10.9%,7.5%,6.3%,4.6%,0.7,19.5%,29.5%
2014 US Open R128,W vs Young,23,22,1.0,11.6%,11.1%,16,19,0.8,8.9%,10.6%,5.0%,3.9%,0.8,18.6%,24.6%
2014 Portoroz CH F,W vs Muller,26,17,1.5,13.2%,8.6%,20,16,1.3,11.4%,9.1%,7.4%,2.9%,1.0,23.9%,24.4%
2014 Australian Open R64,L vs Federer,14,21,0.7,8.0%,12.0%,8,18,0.4,5.2%,11.6%,,,1.5,29.7%,20.0%
2013 Roland Garros R64,L vs Seppi,46,40,1.2,13.9%,12.1%,39,35,1.1,12.9%,11.6%,,,1.6,19.1%,11.8%
2013 Roland Garros R128,W vs Duckworth,25,8,3.1,18.0%,5.8%,24,8,3.0,18.3%,6.1%,,,0.5,9.4%,19.4%
2013 Australian Open R32,L vs Tsonga,8,23,0.3,5.6%,16.1%,7,19,0.4,5.3%,14.5%,,,1.9,31.5%,16.8%
2013 Australian Open R64,W vs Duckworth,71,48,1.5,18.7%,12.6%,49,40,1.2,15.4%,12.5%,,,1.1,20.0%,18.9%
2012 Roland Garros R64,L vs Djokovic,17,21,0.8,10.1%,12.5%,17,18,0.9,10.7%,11.3%,,,1.2,24.4%,20.2%
2012 Roland Garros R128,W vs Hewitt,44,26,1.7,15.4%,9.1%,33,22,1.5,13.2%,8.8%,,,0.9,19.6%,22.1%
2012 Australian Open R64,L vs Del Potro,22,38,0.6,11.3%,19.5%,19,29,0.7,11.6%,17.7%,,,1.2,21.0%,17.9%
2011 Roland Garros R64,L vs Del Potro,17,24,0.7,10.4%,14.6%,12,20,0.6,8.2%,13.6%,6.8%,1.4%,1.2,20.7%,17.7%
2011 Roland Garros R128,W vs Gulbis,20,20,1.0,11.7%,11.7%,11,14,0.8,7.8%,9.9%,2.1%,5.7%,0.5,14.6%,32.2%
Career (21 matches),,532,601,0.9,12.4%,14.0%,411,505,0.8,10.8%,13.3%,2.9%,1.5%,1.0,20.3%,21.1%
