Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2016 St. Petersburg Q1,L vs Tig,0.94,0.63,44.2,2.1,3.8%,46.2%,4.0%,44.0%,30.0%,43.3%
2015 Nanjing $100K R32,L vs Kucova,0.94,0.88,75.7,36.7,4.9%,42.6%,3.5%,57.9%,46.2%,47.5%
2015 Tianjin Q1,W vs Okamura,0.94,1.27,58.2,4.9,6.8%,61.4%,2.4%,64.3%,41.3%,60.5%
2015 Tashkent Q2,L vs Voegele,0.92,0.90,83.0,3.2,7.0%,54.4%,9.3%,59.3%,38.2%,46.2%
2015 Tashkent Q1,W vs Daniels,1.04,1.31,50.8,2.2,11.1%,71.1%,12.5%,65.0%,35.9%,44.7%
2015 Seoul Q3,L vs Badosa,0.94,0.45,38.9,2.0,4.0%,36.0%,10.0%,65.0%,29.2%,19.0%
2015 Seoul Q2,W vs Choi,1.08,1.45,46.4,2.0,0.0%,34.8%,4.8%,66.7%,61.5%,73.1%
2015 US Open Q1,L vs Tig,0.74,0.53,31.8,2.0,6.5%,51.6%,3.6%,42.9%,30.8%,45.8%
2015 Wimbledon Q2,L vs Chirico,1.03,0.71,54.8,2.8,9.1%,39.4%,3.1%,59.4%,36.4%,33.3%
2015 Wimbledon Q1,W vs Kiick,0.94,1.86,50.9,2.0,32.0%,76.0%,20.8%,75.0%,52.9%,43.8%
2014 Astana 100K R32,W vs Katsitadze,0.94,1.35,49.7,2.1,0.0%,51.9%,0.0%,62.5%,63.3%,60.7%
2014 Versmold 50K R32,L vs Radwanska,0.87,0.83,56.5,6.0,0.0%,48.9%,0.0%,42.5%,48.7%,54.3%
2014 Nottingham 50K R32,L vs Rogowska,0.83,0.79,52.4,4.6,10.6%,59.6%,4.8%,57.1%,36.4%,43.6%
2014 Moscow 25K R16,W vs Danilina,1.03,1.63,49.9,2.6,0.0%,60.0%,0.0%,78.3%,40.0%,58.8%
2014 Fukuoka 50K QF,W vs Aoyama,1.25,1.28,55.4,4.7,8.9%,53.3%,10.0%,60.0%,38.9%,50.0%
2014 Gifu 75K F,L vs Babos,0.94,0.41,38.0,2.2,10.7%,50.0%,0.0%,51.9%,18.2%,25.0%
2014 Gifu 75K QF,W vs Patterson,1.15,1.31,56.0,2.3,17.1%,70.7%,0.0%,50.0%,55.9%,33.3%
2014 Namangan 25K SF,L vs Broady,0.85,0.82,66.0,4.4,5.1%,46.2%,0.0%,59.5%,41.9%,50.0%
2014 Namangan 25K QF,W vs Sharipova,0.93,1.40,54.0,4.0,8.6%,60.0%,6.5%,67.7%,56.8%,52.9%
2014 Namangan 25K R16,W vs Buchina,1.04,1.55,50.4,2.3,12.9%,71.0%,0.0%,70.8%,50.0%,36.4%
2016 (1 matches),,0.94,0.63,44.2,2.1,3.8%,46.2%,4.0%,44.0%,30.0%,43.3%
2015 (9 matches),,0.95,0.97,59.3,2.7,8.4%,52.6%,7.2%,61.0%,41.7%,47.1%
2014 (16 matches),,1.02,1.10,55.5,3.0,6.2%,58.4%,3.7%,56.9%,44.9%,46.4%
2013 (21 matches),,1.01,1.07,60.6,2.9,3.6%,54.9%,6.3%,57.3%,46.0%,46.8%
2012 (4 matches),,0.96,0.87,61.7,2.8,6.4%,51.7%,2.3%,60.7%,38.2%,42.1%
Career (55 matches),,0.99,1.01,57.8,2.8,5.6%,54.9%,5.4%,57.7%,43.3%,45.6%
