Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,69,28,41,40.6%,67-87,43.5%,693-749,48.1%,5-9,35.7%,38,-,-,6.6%,6.2%,49.9%,68.0%,43.3%,55.6%,42.4%,49.1%,0.96
Clay,23,3,20,13.0%,13-39,25.0%,206-278,42.6%,1-4,20.0%,11,-,-,4.7%,4.6%,50.9%,63.2%,38.7%,51.2%,37.0%,44.6%,0.76
Grass,5,1,4,20.0%,3-9,25.0%,46-63,42.2%,0-0,-,5,-,-,6.7%,3.8%,57.6%,72.6%,39.2%,58.4%,36.4%,47.3%,0.88
Carpet,4,2,2,50.0%,4-5,44.4%,44-45,49.4%,0-0,-,4,-,-,9.1%,3.3%,45.3%,68.5%,50.7%,58.8%,40.6%,49.8%,0.98
Grand Slams,21,6,15,28.6%,15-32,31.9%,190-246,43.6%,2-2,50.0%,16,-,-,6.4%,4.6%,51.6%,69.8%,40.2%,55.5%,39.3%,47.4%,0.88
Premiers,22,8,14,36.4%,20-29,40.8%,208-237,46.7%,0-2,0.0%,20,-,-,6.6%,4.5%,47.7%,65.6%,46.4%,55.6%,40.8%,48.5%,0.92
Internationals,57,20,37,35.1%,52-77,40.3%,582-639,47.7%,4-9,30.8%,22,-,-,6.2%,6.7%,52.0%,67.4%,41.0%,54.7%,41.4%,48.2%,0.91
Semi-finals,2,0,2,0.0%,0-4,0.0%,6-24,20.0%,0-0,-,1,-,-,4.4%,8.9%,60.0%,59.3%,0.0%,35.6%,35.9%,35.7%,0.56
Quarter-finals,4,2,2,50.0%,5-6,45.5%,56-55,50.5%,1-0,100.0%,1,-,-,3.5%,13.9%,54.9%,67.1%,32.3%,51.4%,45.2%,48.5%,0.93
vs Righties,89,32,57,36.0%,78-120,39.4%,857-974,46.8%,3-9,25.0%,53,-,-,6.4%,5.3%,51.0%,67.6%,42.4%,55.3%,40.9%,48.2%,0.91
vs Lefties,9,1,8,11.1%,6-17,26.1%,97-123,44.1%,0-2,0.0%,4,-,-,6.6%,5.2%,47.4%,66.4%,44.7%,55.0%,36.8%,46.1%,0.82
vs Top 10,8,1,7,12.5%,2-14,12.5%,43-91,32.1%,0-1,0.0%,7,-,-,7.1%,5.4%,49.9%,63.4%,35.3%,49.3%,36.5%,42.8%,0.72
