Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,11,4,7,36.4%,10-14,41.7%,103-109,48.6%,0-1,0.0%,11,60.0%,37.3%,3.4%,4.5%,56.0%,62.7%,42.9%,54.0%,44.3%,49.0%,0.96
Clay,11,6,5,54.5%,13-13,50.0%,115-114,50.2%,1-1,50.0%,11,66.4%,33.3%,2.8%,7.7%,51.8%,68.0%,43.7%,56.3%,43.8%,49.8%,1.00
Semi-finals,1,0,1,0.0%,1-2,33.3%,10-15,40.0%,0-0,-,1,58.3%,23.1%,7.1%,8.6%,45.7%,65.6%,44.7%,54.3%,41.5%,47.0%,0.91
Quarter-finals,3,1,2,33.3%,2-4,33.3%,23-27,46.0%,0-0,-,3,60.0%,32.0%,1.2%,5.0%,57.1%,65.2%,37.7%,53.4%,42.1%,47.6%,0.90
vs Righties,10,4,6,40.0%,9-14,39.1%,87-108,44.6%,1-0,100.0%,10,55.4%,32.3%,2.0%,7.6%,53.5%,62.4%,40.1%,52.0%,44.3%,47.9%,0.92
vs Lefties,2,0,2,0.0%,1-4,20.0%,20-27,42.6%,0-0,-,2,60.9%,25.0%,4.0%,5.0%,56.2%,62.8%,38.6%,52.2%,37.9%,46.0%,0.79
