Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2021-08-30),,,,,,,,,,,491,140,,
2020,1324,3,,,,,,,,,71,1316,,
2019,1280,3,,,,,,,,,49,1565,,
2018,,,,,,,,,,,63,1235,,
2017,421,88,,,,,,,,,145,493,,
2016,312,139,,,,,,,,,151,460,,
2014,259,172,,,,,,,,,106,726,,
2013,67,877,56,1786,60,1718,59,1692,68,1605,34,2420,,
2012,82,776,95,1716,92,1671,116,1603,109,1542,45,1995,,
2011,58,1057,61,1792,49,1757,99,1632,80,1590,31,2715,,
2010,532,55,,,,,,,,,144,521,,
2009,106,610,138,1621,122,1596,127,1559,136,1486,,,,
2008,94,373,114,1671,97,1635,99,1608,124,1510,,,,
2007,133,261,119,1641,116,1586,97,1599,111,1511,,,,
2006,114,262,106,1679,112,1606,85,1630,91,1555,,,,
2005,113,326,111,1666,115,1604,116,1587,,,,,,
2004,140,249,144,1608,146,1541,153,1515,152,1459,,,,
2003,156,205,174,1511,196,1367,143,1518,170,1400,,,,
2002,437,32,,,,,,,,,,,,
2001,413,34,,,,,,,,,,,,
