Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-09-23),1177,10,,,,,,,,,1021,31,,
2023,624,66,,,,,,,,,,,,
2022,419,112,353,1235,349,1200,339,1200,,,,,,
2021,395,145,,,,,,,,,,,,
2020,506,82,,,,,,,,,432,159,,
2019,582,54,,,,,,,,,545,92,,
2018,417,74,,,,,,,,,579,47,,
2017,493,64,,,,,,,,,464,104,,
2016,625,35,,,,,,,,,470,94,,
2015,689,28,,,,,,,,,434,102,,
2014,,,,,,,,,,,1002,13,,
2013,659,40,,,,,,,,,884,24,,
2012,844,17,,,,,,,,,,,,
