Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,40,14,26,35.0%,41-65,38.7%,481-554,46.5%,8-9,47.1%,40,75.4%,18.3%,6.2%,3.8%,56.8%,69.2%,51.0%,61.4%,34.3%,48.1%,0.89
Clay,16,5,11,31.3%,12-28,30.0%,177-211,45.6%,1-5,16.7%,16,73.5%,19.7%,5.9%,3.5%,58.7%,67.5%,51.8%,61.0%,36.0%,48.2%,0.92
Grass,6,3,3,50.0%,7-10,41.2%,75-86,46.6%,2-0,100.0%,6,69.2%,23.5%,4.9%,7.1%,54.4%,64.1%,50.8%,58.0%,36.5%,48.0%,0.87
Grand Slams,14,2,12,14.3%,10-38,20.8%,195-281,41.0%,4-5,44.4%,14,69.8%,13.2%,4.5%,3.4%,57.3%,65.2%,49.7%,58.6%,32.3%,45.8%,0.78
Masters,11,4,7,36.4%,9-15,37.5%,109-121,47.4%,0-4,0.0%,11,75.9%,21.1%,6.6%,3.4%,57.9%,67.1%,51.6%,60.5%,35.5%,48.3%,0.90
Other Tours,37,16,21,43.2%,41-50,45.1%,429-449,48.9%,7-5,58.3%,37,76.3%,21.9%,6.7%,4.7%,56.6%,70.4%,51.8%,62.3%,36.2%,49.3%,0.96
Best of 5,14,2,12,14.3%,10-38,20.8%,195-281,41.0%,4-5,44.4%,14,69.8%,13.2%,4.5%,3.4%,57.3%,65.2%,49.7%,58.6%,32.3%,45.8%,0.78
Best of 3,48,20,28,41.7%,50-65,43.5%,538-570,48.6%,7-9,43.8%,48,76.3%,21.7%,6.7%,4.4%,56.9%,69.7%,51.8%,62.0%,36.1%,49.1%,0.95
Semi-finals,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,66.7%,0.0%,4.5%,4.5%,56.7%,50.0%,65.5%,56.7%,22.4%,42.2%,0.52
Quarter-finals,1,1,0,100.0%,2-1,66.7%,17-13,56.7%,0-0,-,1,86.7%,26.7%,3.7%,7.4%,50.9%,74.5%,52.8%,63.9%,36.6%,52.1%,1.01
vs Righties,51,20,31,39.2%,54-81,40.0%,623-693,47.3%,10-11,47.6%,51,75.8%,19.7%,6.1%,4.3%,57.0%,68.7%,51.4%,61.3%,35.1%,48.4%,0.91
vs Lefties,11,2,9,18.2%,6-22,21.4%,110-158,41.0%,1-3,25.0%,11,67.2%,16.5%,5.5%,3.2%,57.0%,66.1%,49.6%,59.0%,34.4%,46.4%,0.84
vs Top 10,4,0,4,0.0%,1-9,10.0%,33-57,36.7%,0-1,0.0%,4,65.1%,10.9%,4.7%,6.3%,53.8%,63.6%,43.9%,54.5%,28.6%,42.2%,0.63
