Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,23,10,13,43.5%,24-30,44.4%,252-274,47.9%,3-6,33.3%,23,77.7%,18.8%,9.2%,4.4%,64.5%,72.7%,46.1%,63.2%,36.5%,49.8%,0.99,QF (2x)
2024,4,1,3,25.0%,3-7,30.0%,50-59,45.9%,1-2,33.3%,4,83.0%,9.4%,4.0%,2.0%,61.9%,69.7%,59.7%,65.9%,32.3%,48.8%,0.95,R16 (Turin)
2023,5,3,2,60.0%,7-4,63.6%,57-38,60.0%,0-0,-,5,82.4%,33.3%,3.9%,3.3%,60.5%,71.7%,55.0%,65.1%,43.1%,53.7%,1.24,QF (Helsinki)
2022,2,1,1,50.0%,2-2,50.0%,19-19,50.0%,0-0,-,2,68.4%,31.6%,2.7%,10.8%,64.0%,64.8%,47.5%,58.6%,42.9%,50.4%,1.03,R16 (Phoenix)
2021,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,55.6%,11.1%,3.3%,5.0%,63.3%,63.2%,45.5%,56.7%,33.3%,45.6%,0.77,R32 (Nur-Sultan 2)
2020,9,7,2,77.8%,15-5,75.0%,112-77,59.3%,0-1,0.0%,9,90.5%,28.0%,11.2%,4.0%,66.1%,79.1%,51.5%,69.7%,39.5%,54.5%,1.30,F (Bendigo)
2019,48,36,12,75.0%,74-33,69.2%,581-433,57.3%,7-4,63.6%,47,80.9%,32.9%,5.1%,4.3%,65.1%,69.8%,54.4%,64.4%,42.2%,53.1%,1.19,W (4x)
2018,8,3,5,37.5%,7-11,38.9%,83-91,47.7%,0-1,0.0%,8,67.4%,28.7%,3.5%,6.8%,64.2%,65.2%,43.4%,57.4%,39.3%,48.8%,0.92,R16 (3x)
Career,100,61,39,61.0%,132-94,58.4%,1160-1003,53.6%,11-14,44.0%,99,79.6%,27.3%,6.3%,4.4%,64.5%,70.9%,51.3%,63.9%,39.8%,51.8%,1.10,
