Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,4,1,3,25.0%,3-7,30.0%,52-55,48.6%,1-3,25.0%,2,81.3%,9.1%,12.6%,5.3%,63.3%,71.8%,55.3%,65.7%,24.7%,45.9%,0.72,
2024,30,16,14,53.3%,42-36,53.8%,410-395,50.9%,13-7,65.0%,29,81.6%,18.5%,6.3%,2.8%,63.2%,70.2%,56.3%,65.1%,36.0%,50.6%,1.03,F (Hong Kong)
2023,51,26,25,51.0%,60-63,48.8%,633-621,50.5%,12-14,46.2%,49,79.3%,21.0%,6.7%,3.0%,63.9%,71.2%,51.3%,64.0%,37.1%,50.6%,1.03,SF (s Hertogenbosch)
2022,64,35,29,54.7%,85-71,54.5%,772-708,52.2%,12-7,63.2%,62,77.7%,25.0%,4.9%,4.2%,67.0%,69.4%,50.9%,63.3%,39.5%,51.0%,1.07,F (Pune)
2021,45,23,22,51.1%,55-59,48.2%,530-545,49.3%,7-6,53.8%,45,74.2%,24.4%,5.6%,4.8%,64.7%,68.8%,48.5%,61.6%,39.5%,50.4%,1.03,SF (2x)
2020,15,6,9,40.0%,16-24,40.0%,197-200,49.6%,3-3,50.0%,15,76.1%,23.1%,7.1%,5.8%,63.3%,71.5%,49.8%,63.5%,38.9%,50.6%,1.07,SF (Nur-Sultan)
2019,2,2,0,100.0%,4-0,100.0%,24-12,66.7%,0-0,-,0,,,,,,,,,,,,
2018,6,3,3,50.0%,7-7,50.0%,66-63,51.2%,1-1,50.0%,6,71.9%,30.2%,3.8%,5.9%,67.3%,66.1%,42.4%,58.4%,42.3%,50.2%,1.01,
2017,1,0,1,0.0%,0-3,0.0%,10-18,35.7%,0-0,-,1,57.1%,14.3%,1.1%,3.2%,58.1%,57.4%,43.6%,51.6%,33.0%,42.4%,0.68,
Career,218,112,106,51.4%,272-270,50.2%,2694-2617,50.7%,49-41,54.4%,209,77.6%,22.6%,5.9%,4.0%,64.8%,69.8%,51.1%,63.2%,38.2%,50.6%,1.04,
