Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 Washington R32,L vs Mpetshi Perricard,1.3%,0.0%,7.7%,61.5%,17.1%,23.8%,0.0%,13.0%,27.3%,1.3%,50.0%,52,10
2024 Wimbledon R128,W vs Mcdonald,3.0%,80.0%,10.8%,71.1%,16.7%,23.0%,33.3%,9.7%,29.6%,0.9%,20.0%,61,40
2024 Eastbourne R32,W vs Norrie,2.9%,50.0%,8.6%,58.3%,11.1%,21.9%,0.0%,6.1%,0.0%,0.4%,100.0%,-63,-48
2024 Miami R128,L vs Hanfmann,1.3%,100.0%,8.9%,53.3%,11.4%,13.8%,0.0%,11.4%,45.5%,0.0%,-,-16,-8
2024 Indian Wells R128,L vs Lajovic,0.0%,-,8.7%,50.0%,8.2%,8.9%,7.7%,4.2%,0.0%,1.1%,66.7%,-44,-50
2024 Rotterdam R16,W vs Struff,0.0%,-,3.8%,75.0%,10.5%,11.8%,0.0%,10.6%,30.0%,0.0%,-,-23,-41
2024 Rotterdam R32,W vs Humbert,0.0%,-,3.6%,100.0%,8.7%,20.6%,11.1%,7.7%,12.5%,0.7%,100.0%,-33,-12
2024 Australian Open R64,L vs Medvedev,4.0%,71.4%,15.3%,64.8%,6.7%,7.4%,0.0%,5.2%,9.0%,1.4%,38.5%,-53,-63
2024 Hong Kong F,L vs Rublev,0.0%,-,7.5%,66.7%,11.5%,21.4%,33.3%,9.4%,40.0%,0.0%,-,-10,3
2024 Hong Kong QF,W vs Kotov,1.4%,100.0%,13.7%,89.5%,19.4%,19.4%,33.3%,5.3%,18.2%,0.3%,100.0%,44,19
2024 Hong Kong R16,W vs Khachanov,2.2%,100.0%,11.3%,95.5%,13.2%,15.2%,22.2%,8.6%,34.6%,0.3%,0.0%,-1,-15
2023 Cincinnati R32,W vs Rublev,1.4%,100.0%,6.1%,82.4%,9.7%,15.2%,0.0%,5.8%,13.0%,0.0%,-,14,20
2023 Wimbledon R128,L vs Wawrinka,2.9%,66.7%,6.0%,76.9%,13.3%,17.9%,16.7%,4.2%,10.0%,3.5%,40.0%,105,62
2023 Queens Club R32,L vs Dimitrov,0.0%,-,4.4%,40.0%,13.1%,9.5%,20.0%,9.1%,14.3%,0.5%,100.0%,-7,-4
2023 s Hertogenbosch QF,W vs Sinner,0.0%,-,4.6%,100.0%,18.2%,15.0%,100.0%,7.0%,0.0%,0.0%,-,44,94
2023 Rome R64,L vs Medvedev,3.9%,50.0%,15.2%,56.3%,4.3%,2.9%,0.0%,2.0%,10.0%,1.5%,40.0%,-75,-84
2023 Madrid R64,L vs Alcaraz,5.7%,100.0%,12.2%,71.4%,7.5%,8.7%,0.0%,10.8%,16.7%,1.3%,33.3%,-32,-11
2023 Barcelona R64,W vs Bublik,0.0%,-,8.2%,57.1%,11.8%,14.3%,0.0%,9.8%,0.0%,1.6%,50.0%,70,2
2023 Monte Carlo R64,L vs Lehecka,8.6%,60.0%,8.5%,63.6%,9.8%,15.2%,0.0%,6.3%,18.2%,0.9%,50.0%,-3,-49
2023 Miami QF,L vs Sinner,0.0%,-,7.2%,42.9%,9.6%,7.1%,100.0%,5.3%,25.0%,0.5%,0.0%,27,-7
Career (47 matches),,1.3%,75.0%,8.6%,72.8%,10.5%,13.3%,10.1%,6.8%,18.9%,0.7%,42.6%,-25,-21
