Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 Washington R32,L vs Mpetshi Perricard,40.5%,44.1%,1.2%,1/0,2.28,26.9%,48.0%,41.7%,0.0%,2.07,26.7%,43.5%,50.0%,4.3%,2.57,27.3%
2024 Wimbledon R128,W vs Mcdonald,65.3%,47.7%,5.9%,4/6,2.19,3.3%,58.1%,48.5%,5.1%,2.07,4.9%,82.7%,46.5%,7.7%,2.41,0.0%
2024 Eastbourne R32,W vs Norrie,64.2%,39.5%,0.0%,0/0,2.34,11.8%,60.0%,25.9%,0.0%,2.30,15.8%,80.0%,62.5%,0.0%,2.46,0.0%
2024 Miami R128,L vs Hanfmann,67.8%,50.8%,3.4%,3/0,1.99,12.7%,64.9%,54.1%,3.5%,2.08,23.3%,78.6%,45.5%,3.6%,1.88,0.0%
2024 Indian Wells R128,L vs Lajovic,77.8%,44.6%,2.8%,2/0,2.56,28.6%,75.9%,39.0%,1.9%,2.60,45.2%,93.8%,60.0%,6.3%,2.50,0.0%
2024 Rotterdam R16,W vs Struff,66.7%,59.4%,6.3%,1/2,-,10.8%,58.1%,50.0%,3.2%,-,19.0%,93.3%,71.4%,13.3%,-,0.0%
2024 Rotterdam R32,W vs Humbert,58.6%,51.0%,1.1%,1/0,2.37,8.2%,53.0%,51.4%,0.0%,2.23,14.6%,80.0%,50.0%,5.0%,2.55,0.0%
2024 Australian Open R64,L vs Medvedev,68.0%,52.1%,1.1%,1/1,2.37,4.7%,59.8%,50.0%,0.9%,2.39,7.9%,91.7%,54.5%,1.7%,2.36,0.0%
2024 Hong Kong F,L vs Rublev,67.2%,38.5%,1.7%,1/0,2.42,9.3%,57.5%,47.8%,2.5%,2.48,15.4%,88.9%,25.0%,0.0%,2.32,0.0%
2024 Hong Kong QF,W vs Kotov,74.6%,44.7%,3.2%,2/0,2.20,5.1%,73.3%,45.5%,2.2%,2.16,10.0%,87.5%,42.9%,6.3%,2.24,0.0%
2024 Hong Kong R16,W vs Khachanov,71.7%,56.3%,6.1%,4/2,2.35,0.0%,56.4%,58.1%,7.3%,2.51,0.0%,90.9%,55.0%,4.5%,2.11,0.0%
2023 Cincinnati R32,W vs Rublev,69.4%,51.6%,0.0%,0/0,2.18,1.0%,65.7%,43.2%,0.0%,2.08,1.6%,84.5%,59.2%,0.0%,2.36,0.0%
2023 Wimbledon R128,L vs Wawrinka,56.0%,55.7%,2.8%,1/2,2.32,37.5%,43.7%,58.1%,2.8%,2.15,22.2%,85.7%,53.3%,2.9%,2.49,52.8%
2023 Queens Club R32,L vs Dimitrov,54.4%,51.6%,5.3%,0/3,2.37,60.5%,37.9%,27.3%,3.4%,2.38,38.1%,71.4%,65.0%,7.1%,2.36,81.8%
2023 s Hertogenbosch QF,W vs Sinner,63.2%,58.3%,1.8%,0/1,2.23,3.3%,57.9%,63.6%,0.0%,2.46,8.3%,82.4%,50.0%,5.9%,2.08,0.0%
2023 Rome R64,L vs Medvedev,68.5%,51.4%,3.7%,2/0,2.27,2.3%,60.0%,47.6%,5.7%,2.18,3.0%,94.1%,56.3%,0.0%,2.55,0.0%
2023 Madrid R64,L vs Alcaraz,67.0%,55.2%,1.0%,1/0,2.41,0.0%,61.8%,59.5%,0.0%,2.40,0.0%,83.3%,48.0%,3.3%,2.42,0.0%
2023 Barcelona R64,W vs Bublik,68.4%,53.8%,2.6%,1/0,-,13.2%,70.0%,50.0%,0.0%,-,16.7%,100.0%,58.3%,8.3%,-,7.1%
2023 Monte Carlo R64,L vs Lehecka,67.6%,54.2%,1.4%,1/0,-,6.8%,60.8%,51.6%,2.0%,-,9.5%,89.5%,58.8%,0.0%,-,4.3%
2023 Miami QF,L vs Sinner,64.3%,25.9%,7.1%,1/2,1.99,6.5%,50.0%,9.1%,4.5%,1.91,10.3%,88.9%,37.5%,11.1%,2.12,0.0%
Career (47 matches),,67.7%,49.7%,2.4%,55.6%,2.27,10.2%,62.9%,47.6%,1.9%,2.25,13.4%,83.9%,52.7%,3.5%,2.30,4.8%
