Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2024 Washington R32,L vs Mpetshi Perricard,2.8,3.3,2.2,47.1%,44.8%,71.4%,60.0%,55.0%,8.3%,12.5,14.7,0.0,0.0
2024 Wimbledon R128,W vs Mcdonald,3.8,3.8,3.9,49.5%,48.8%,62.1%,29.6%,57.0%,13.1%,9.0,3.0,7.5,3.7
2024 Eastbourne R32,W vs Norrie,4.3,4.4,4.2,53.3%,41.9%,70.0%,50.0%,54.9%,14.5%,10.0,7.8,4.0,4.4
2024 Miami R128,L vs Hanfmann,3.9,4.5,3.3,45.5%,56.8%,60.0%,53.3%,53.7%,3.2%,7.0,4.9,5.5,4.5
2024 Indian Wells R128,L vs Lajovic,4.8,4.9,4.7,47.9%,48.6%,38.5%,26.3%,54.7%,14.7%,-3.5,-2.3,0.5,0.5
2024 Rotterdam R16,W vs Struff,4.0,4.1,3.9,50.0%,71.4%,60.9%,71.4%,59.1%,10.0%,4.5,4.9,5.5,8.9
2024 Rotterdam R32,W vs Humbert,3.7,3.7,3.6,51.6%,60.5%,36.8%,38.5%,57.4%,10.5%,1.0,0.6,3.5,3.2
2024 Australian Open R64,L vs Medvedev,5.9,7.1,4.7,47.0%,50.0%,55.6%,42.0%,43.7%,8.9%,1.0,0.3,-4.0,-0.9
2024 Hong Kong F,L vs Rublev,3.9,4.1,3.7,40.6%,55.6%,36.4%,33.3%,48.9%,5.2%,5.0,5.6,-3.0,-3.3
2024 Hong Kong QF,W vs Kotov,4.9,5.1,4.8,52.3%,51.5%,66.7%,50.0%,54.7%,6.9%,15.5,10.0,-2.5,-2.1
2024 Hong Kong R16,W vs Khachanov,4.5,4.2,4.9,48.0%,52.7%,55.6%,63.6%,44.1%,2.4%,10.0,6.2,3.0,1.5
2023 Cincinnati R32,W vs Rublev,4.3,4.4,4.1,48.0%,56.7%,52.0%,48.6%,50.9%,4.7%,3.0,1.2,-17.5,-7.2
2023 Wimbledon R128,L vs Wawrinka,3.2,3.4,3.1,43.4%,52.5%,61.9%,55.6%,48.9%,23.6%,-4.0,-3.3,-4.0,-3.6
2023 Queens Club R32,L vs Dimitrov,4.0,5.0,2.9,37.3%,37.0%,55.6%,45.5%,41.0%,20.7%,6.0,8.0,-3.5,-4.0
2023 s Hertogenbosch QF,W vs Sinner,3.1,3.1,3.2,56.0%,57.1%,66.7%,75.0%,52.4%,5.9%,7.0,9.9,1.5,2.3
2023 Rome R64,L vs Medvedev,6.8,8.0,5.6,34.1%,61.1%,53.8%,45.5%,58.8%,9.8%,0.5,0.3,-5.5,-4.6
2023 Madrid R64,L vs Alcaraz,3.4,3.7,3.3,44.1%,56.3%,68.2%,42.9%,42.2%,3.8%,7.5,8.6,5.5,4.4
2023 Barcelona R64,W vs Bublik,3.6,4.3,2.8,62.3%,66.7%,63.6%,66.7%,51.2%,3.2%,2.0,3.4,6.0,9.8
2023 Monte Carlo R64,L vs Lehecka,4.2,4.7,3.7,45.2%,45.2%,56.3%,20.0%,55.7%,8.9%,-0.5,-0.4,0.0,0.0
2023 Miami QF,L vs Sinner,4.5,5.2,3.7,40.0%,36.4%,42.9%,36.4%,56.1%,7.3%,-6.5,-6.3,-4.0,-5.3
Career (47 matches),,4.5,4.8,4.2,47.4%,51.7%,56.4%,50.7%,51.9%,7.7%,4.1,2.7,0.6,0.5
