Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,16,Hard,75,60,15,80.0%,9,5,4,55.6%,2003,2020,W,67,1.27,6.6%,7.3%,61.1%,68.9%,49.5%,61.4%,48.9%,58.3%,48.2%
Roland Garros,14,Clay,71,59,12,83.1%,11,5,6,45.5%,2003,2018,W,60,1.20,4.1%,7.8%,62.8%,67.3%,44.4%,58.8%,49.3%,54.0%,50.3%
Wimbledon,15,Grass,60,46,14,76.7%,14,7,7,50.0%,2003,2019,W,58,1.24,5.6%,6.9%,64.8%,70.4%,48.6%,62.7%,46.2%,64.5%,48.9%
US Open,13,Hard,50,38,12,76.0%,6,4,2,66.7%,2003,2019,W,45,1.19,6.0%,9.2%,62.8%,68.6%,43.9%,59.4%,48.2%,60.8%,47.0%
Olympics,1,,6,5,1,83.3%,2,1,1,50.0%,2012,2012,F,6,1.16,8.0%,7.7%,62.4%,69.8%,51.4%,62.9%,43.1%,53.3%,54.8%
Fed Cup,4,,8,7,1,87.5%,0,0,0,-,2008,2015,,0,,,,,,,,,,
Indian Wells,14,Hard,50,38,12,76.0%,5,4,1,80.0%,2002,2018,W,38,1.20,4.3%,8.6%,63.7%,67.0%,45.1%,59.1%,49.1%,59.7%,50.0%
Miami,10,Hard,43,33,10,76.7%,9,4,5,44.4%,2003,2015,F,32,1.15,3.2%,8.4%,65.2%,65.3%,44.1%,57.9%,48.3%,58.5%,48.6%
Rome,10,Clay,38,31,7,81.6%,7,4,3,57.1%,2008,2018,W,29,1.22,5.2%,7.7%,62.8%,68.1%,45.7%,59.8%,48.9%,56.4%,47.7%
Madrid,8,Clay,30,23,7,76.7%,1,1,0,100.0%,2010,2018,W,28,1.16,4.9%,7.3%,63.9%,68.0%,48.1%,60.8%,45.5%,55.2%,51.1%
Tokyo,8,Hard,25,19,6,76.0%,9,6,3,66.7%,2004,2012,W,18,1.13,6.3%,9.6%,64.3%,65.9%,40.0%,56.6%,49.1%,51.5%,49.4%
Birmingham,7,Grass,36,31,5,86.1%,3,1,2,33.3%,2003,2010,W,23,1.28,8.1%,7.0%,64.1%,72.5%,48.4%,63.8%,46.2%,59.3%,48.8%
