Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2020,2,0,2,0.0%,1-4,20.0%,20-28,41.7%,0-1,0.0%,2,73.9%,12.5%,8.5%,11.3%,57.7%,73.2%,43.3%,60.6%,31.7%,46.1%,0.80,R32 (Brisbane)
2019,16,8,8,50.0%,17-14,54.8%,146-135,52.0%,3-2,60.0%,15,68.0%,35.1%,4.7%,8.1%,63.1%,64.8%,44.1%,57.2%,44.0%,50.6%,1.03,QF (Shenzhen)
2018,31,20,11,64.5%,46-27,63.0%,373-303,55.2%,3-3,50.0%,31,67.4%,42.3%,6.6%,9.0%,59.3%,66.4%,43.5%,57.1%,46.9%,51.9%,1.09,SF (2x)
2017,23,16,7,69.6%,36-17,67.9%,294-221,57.1%,3-2,60.0%,22,74.4%,40.6%,7.2%,7.0%,57.1%,70.3%,45.9%,59.9%,46.2%,53.0%,1.15,W (Tianjin)
2016,5,4,1,80.0%,8-2,80.0%,55-30,64.7%,0-1,0.0%,5,77.6%,46.9%,17.6%,7.7%,55.6%,77.6%,46.0%,63.6%,49.6%,56.2%,1.36,QF (Australian Open)
2015,49,39,10,79.6%,80-26,75.5%,592-374,61.3%,1-7,12.5%,37,79.1%,40.7%,6.4%,8.4%,62.1%,71.9%,53.3%,64.8%,45.9%,55.1%,1.30,W (2x)
2014,63,50,13,79.4%,106-46,69.7%,817-587,58.2%,7-8,46.7%,56,-,-,4.4%,7.9%,61.8%,67.5%,46.5%,59.5%,48.3%,53.9%,1.19,W (4x)
2013,45,37,8,82.2%,76-19,80.0%,522-319,62.1%,2-2,50.0%,40,-,-,6.8%,7.5%,62.4%,71.8%,47.8%,62.8%,48.1%,55.1%,1.29,W (2x)
2012,71,60,11,84.5%,118-36,76.6%,852-542,61.1%,8-6,57.1%,64,-,-,5.3%,7.3%,66.1%,67.9%,47.3%,60.9%,48.0%,54.4%,1.23,W (3x)
2011,57,43,14,75.4%,85-39,68.5%,656-479,57.8%,8-2,80.0%,50,-,-,3.7%,9.6%,66.2%,65.3%,40.7%,57.0%,50.2%,53.5%,1.17,W (2x)
2010,44,33,11,75.0%,71-31,69.6%,539-367,59.5%,2-4,33.3%,41,-,-,6.2%,8.7%,62.8%,71.3%,45.5%,61.7%,47.1%,54.1%,1.23,W (2x)
2009,40,31,9,77.5%,63-32,66.3%,486-378,56.3%,3-4,42.9%,37,-,-,5.0%,10.7%,64.2%,64.4%,41.1%,56.1%,49.0%,52.5%,1.12,W (Tokyo)
2008,38,32,6,84.2%,67-18,78.8%,484-297,62.0%,7-3,70.0%,30,-,-,5.0%,7.9%,65.2%,69.4%,45.7%,61.2%,48.2%,54.5%,1.24,W (3x)
2007,52,40,12,76.9%,83-31,72.8%,610-428,58.8%,6-2,75.0%,47,-,-,5.6%,9.1%,63.8%,67.7%,42.5%,58.6%,48.5%,53.5%,1.17,W (San Diego)
2006,69,59,10,85.5%,120-25,82.8%,830-511,61.9%,9-2,81.8%,65,-,-,6.5%,5.4%,65.8%,68.7%,48.1%,61.6%,48.2%,54.9%,1.26,W (5x)
2005,66,53,13,80.3%,108-41,72.5%,800-525,60.4%,7-4,63.6%,31,-,-,5.2%,4.2%,64.0%,67.1%,48.8%,60.5%,46.2%,53.3%,1.17,W (3x)
2004,71,55,16,77.5%,109-46,70.3%,808-556,59.2%,2-5,28.6%,16,-,-,6.9%,6.8%,60.7%,70.6%,50.6%,62.8%,47.4%,54.9%,1.27,W (5x)
2003,36,24,12,66.7%,52-31,62.7%,421-334,55.8%,5-6,45.5%,7,-,-,5.1%,5.1%,60.9%,65.3%,48.6%,58.8%,44.6%,52.1%,1.08,W (2x)
2002,3,1,2,33.3%,3-5,37.5%,35-37,48.6%,0-1,0.0%,0,,,,,,,,,,,,R32 (Japan Open)
Career,781,605,176,77.5%,1249-490,71.8%,9340-6451,59.1%,76-65,53.9%,596,72.6%,40.1%,5.7%,7.8%,63.4%,68.3%,46.0%,60.1%,47.7%,53.8%,1.20,
