Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1957,,,2,2034,2,1866,9,1804,2,1953,,,,
1956,,,5,2055,3,1855,,,3,1967,,,,
1955,,,2,2070,2,1857,,,2,1986,,,,
1954,,,3,2135,2,1923,,,3,2052,,,,
1953,,,4,2049,4,1864,5,1884,4,1962,,,,
1952,,,4,2041,3,1858,,,5,1959,,,,
1951,,,5,2072,,,4,1923,4,2015,,,,
1950,,,3,2120,1,1916,3,1909,3,2057,,,,
1949,,,1,2224,1,2020,2,1914,1,2148,,,,
1948,,,1,2200,1,1998,,,1,2114,,,,
1947,,,3,2103,3,1908,4,1858,1,2029,,,,
1946,,,3,1984,4,1818,8,1764,3,1924,,,,
1945,,,4,1964,4,1819,,,4,1892,,,,
1944,,,3,1978,3,1823,6,1671,2,1909,,,,
1943,,,2,1944,1,1860,5,1629,2,1916,,,,
1942,,,1,2082,1,1880,,,1,2002,,,,
1941,,,11,1850,4,1773,,,10,1715,,,,
1940,,,19,1705,11,1592,,,20,1611,,,,
