Date,Tournament,Surface,Rd,,Score
05-May-1969,Los Angeles SoCal Chps,Hard,F,Brough / Barbara Green [USA] d. Ann Lebedeff / Tam Oshaughnessy [USA],7-5 6-4
19-Jul-1965,Arcadia,,F,Brough / Barbara Green [USA] d. Mary Arnold / Norma Dickson [USA],6-1 6-4
26-Jan-1962,Los Angeles Metro,Hard,F,Brough / Barbara Green [USA] d. Joan Johnson / Jeri Shepard [USA],7-5 8-6
25-Aug-1959,Manchester-on-Sea,Grass,F,Jeanne Arth / Darlene Hard [USA] d. Brough / Barbara Green [USA],6-4 6-1
11-May-1959,Los Angeles SoCal Chps,Hard,F,Brough / Julie Sampson Hayward [USA] d. Karen Susman / Kathy Chabot [USA],6-1 6-2
13-Apr-1959,Pasadena,,F,Brough / Julie Sampson Hayward [USA] d. Joan Johnson / Geri Shepard [USA],9-11 6-2 6-4
27-Mar-1958,Johannesburg,Hard,F,(1) Sandra Reynolds / Renee Schuurman [RSA] d. (2) Brough / Shirley Bloomer [GBR],4-6 8-6 6-3
07-Nov-1957,Tucson,Hard,F,Brough / Barbara Green [USA] d. Sandra Veenboer / Jane Brisack [USA],6-0 6-1
06-Oct-1957,Mexico City,Clay,F,(1) Brough / Dorothy Knode [USA] d. Yola Ramirez [MEX] / Rosie Reyes [FRA],1-6 6-4 7-5
22-Sep-1957,Berkeley,Hard,F,Mary Hawton [AUS] / Janet Hopps [USA] d. Brough / Barbara Scofield [USA],3-6 6-4 6-2
29-Aug-1957,US National Championships,Grass,F,(1) Brough / Margaret Osborne Dupont [USA] d. (2) Althea Gibson / Darlene Hard [USA],6-2 7-5
12-Aug-1957,Manchester-on-Sea,Grass,F,Althea Gibson / Darlene Hard [USA] d. Brough / Margaret Osborne Dupont [USA],7-5 7-5
10-Aug-1957,Wightman Cup,Grass,RR,Brough / Margaret Osborne Dupont [USA] d. Ann Jones / Anne Shilcock [GBR],6-4 6-1
10-Jun-1957,Birmingham Priory,Grass,F,Brough / Ann Jones [GBR] d. Heather Nicholls [RSA] / Dorothy Knode [USA],3-6 7-5 6-1
03-Jun-1957,Manchester,Grass,F,Brough / Althea Gibson [USA] d. Anne Shilcock / Patricia Ward Hales [GBR],6-3 6-3
04-May-1957,Los Angeles SoCal Chps,Hard,F,Brough / Barbara Green [USA] d. Janet Hopps / Diane Wootton [USA],6-0 4-6 6-1
