Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,227,111,116,48.9%,295-293,50.2%,2891-2825,50.6%,45-52,46.4%,207,77.7%,23.4%,5.6%,3.9%,58.9%,70.6%,51.1%,62.6%,38.3%,50.3%,1.02
Clay,100,54,46,54.0%,148-121,55.0%,1352-1230,52.4%,14-23,37.8%,94,74.8%,29.2%,3.7%,3.7%,59.4%,68.1%,50.7%,61.1%,40.6%,50.8%,1.04
Grass,40,20,20,50.0%,55-61,47.4%,579-598,49.2%,10-12,45.5%,40,80.6%,17.5%,7.7%,5.5%,57.7%,74.7%,50.4%,64.4%,35.6%,49.9%,1.00
Carpet,4,2,2,50.0%,7-9,43.8%,82-84,49.4%,1-4,20.0%,0,,,,,,,,,,,
Grand Slams,67,33,34,49.3%,123-129,48.8%,1215-1228,49.7%,18-23,43.9%,67,76.2%,23.7%,5.5%,4.6%,58.9%,69.9%,50.1%,61.8%,38.2%,50.0%,1.00
Masters,64,27,37,42.2%,69-81,46.0%,736-760,49.2%,11-20,35.5%,63,76.0%,23.1%,4.1%,4.2%,57.9%,68.9%,51.6%,61.6%,37.8%,49.6%,0.98
Other Tours,201,103,98,51.2%,243-222,52.3%,2321-2202,51.3%,37-33,52.9%,197,77.9%,24.6%,5.5%,3.9%,59.0%,71.1%,51.0%,62.8%,39.0%,50.7%,1.05
Best of 5,87,47,40,54.0%,169-159,51.5%,1613-1553,50.9%,20-31,39.2%,75,76.7%,23.9%,5.8%,4.4%,59.2%,70.2%,50.3%,62.1%,38.3%,50.2%,1.01
Best of 3,284,140,144,49.3%,336-325,50.8%,3291-3184,50.8%,50-60,45.5%,266,77.6%,24.2%,5.2%,3.9%,58.7%,70.5%,51.2%,62.6%,38.6%,50.5%,1.03
Finals,5,3,2,60.0%,6-4,60.0%,55-47,53.9%,1-1,50.0%,5,78.4%,28.6%,6.4%,4.3%,59.1%,72.7%,47.0%,62.2%,41.8%,51.8%,1.10
Semi-finals,7,5,2,71.4%,8-6,57.1%,69-64,51.9%,0-1,0.0%,6,83.1%,22.4%,10.0%,3.4%,57.7%,73.0%,54.0%,65.0%,38.5%,51.4%,1.10
Quarter-finals,26,7,19,26.9%,16-37,30.2%,244-282,46.4%,0-7,0.0%,24,75.0%,19.5%,4.2%,4.6%,56.8%,68.7%,48.7%,60.1%,36.4%,48.0%,0.91
vs Righties,319,159,160,49.8%,436-421,50.9%,4251-4115,50.8%,62-79,44.0%,297,77.0%,24.2%,5.2%,4.1%,58.9%,70.0%,50.9%,62.1%,38.5%,50.3%,1.02
vs Lefties,49,25,24,51.0%,62-63,49.6%,611-601,50.4%,8-12,40.0%,44,79.3%,23.6%,6.7%,3.9%,58.4%,73.4%,51.4%,64.3%,38.6%,51.1%,1.08
vs Top 10,41,4,37,9.8%,24-85,22.0%,451-620,42.1%,3-11,21.4%,40,71.3%,13.7%,4.2%,4.4%,57.9%,67.7%,46.5%,58.8%,32.8%,46.2%,0.79
