Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,14,10,4,71.4%,23-11,67.6%,194-147,56.9%,3-5,37.5%,14,84.5%,29.7%,3.7%,3.1%,62.3%,68.8%,60.4%,65.7%,41.6%,53.0%,1.21,W (Manama)
2024,7,4,3,57.1%,8-5,61.5%,61-54,53.0%,0-0,-,6,78.0%,31.7%,5.2%,3.0%,62.6%,65.8%,61.8%,64.3%,41.2%,52.7%,1.15,QF (2x)
2023,8,7,1,87.5%,14-5,73.7%,104-73,58.8%,0-1,0.0%,8,81.6%,37.1%,5.1%,5.3%,58.5%,74.4%,53.0%,65.5%,44.0%,54.2%,1.28,W (Canberra)
2022,11,9,2,81.8%,18-7,72.0%,143-115,55.4%,5-1,83.3%,11,81.5%,28.9%,6.3%,4.0%,60.7%,72.3%,54.3%,65.2%,42.4%,53.1%,1.22,W (Bratislava)
2020,1,0,1,0.0%,0-0,-,0-0,-,0-0,-,1,60.0%,25.0%,7.9%,5.3%,73.7%,60.7%,40.0%,55.3%,42.1%,48.7%,0.94,R32 (Bendigo)
2019,1,0,1,0.0%,1-2,33.3%,18-17,51.4%,0-2,0.0%,1,87.5%,23.5%,3.3%,4.1%,59.8%,69.9%,51.0%,62.3%,41.4%,51.4%,1.10,R32 (Bratislava)
2018,13,10,3,76.9%,20-9,69.0%,158-117,57.5%,0-2,0.0%,13,86.3%,30.7%,5.4%,3.9%,56.6%,72.0%,60.0%,66.8%,41.1%,53.5%,1.24,F (Canberra)
2017,42,30,12,71.4%,66-34,66.0%,540-414,56.6%,8-8,50.0%,42,81.0%,32.3%,6.6%,4.2%,55.4%,72.2%,54.2%,64.2%,42.0%,53.0%,1.17,W (2x)
2016,44,26,18,59.1%,58-46,55.8%,527-486,52.0%,8-8,50.0%,44,74.3%,29.7%,6.4%,4.1%,55.3%,69.9%,50.4%,61.2%,41.5%,51.2%,1.07,F (Prostejov)
2015,37,19,18,51.4%,46-41,52.9%,429-422,50.4%,8-7,53.3%,37,73.4%,26.2%,5.9%,5.2%,58.4%,67.9%,49.2%,60.1%,39.5%,50.0%,0.99,SF (2x)
2014,43,26,17,60.5%,57-42,57.6%,517-456,53.1%,9-11,45.0%,43,77.6%,28.8%,4.8%,4.0%,56.2%,68.3%,54.3%,62.2%,39.7%,50.9%,1.05,F (2x)
2013,26,17,9,65.4%,36-21,63.2%,298-258,53.6%,4-3,57.1%,26,83.2%,23.6%,8.0%,5.6%,57.1%,76.1%,50.7%,65.2%,38.7%,51.7%,1.11,W (2x)
Career,247,158,89,64.0%,347-223,60.9%,2989-2559,53.9%,45-48,48.4%,246,78.7%,29.1%,5.9%,4.4%,57.2%,70.5%,53.0%,63.0%,40.8%,51.7%,1.10,
