Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),51,977,56,1790,56,1736,54,1725,29,1727,,,,
2025,55,956,48,1798,50,1747,46,1729,27,1731,,,,
2024,104,597,49,1796,56,1735,45,1743,28,1735,533,90,,
2023,59,882,45,1802,53,1736,48,1730,24,1748,,,,
2022,87,607,61,1774,58,1721,59,1714,37,1700,,,,
2021,40,1459,48,1813,43,1769,51,1732,34,1712,,,,
2020,55,1062,28,1833,30,1783,28,1766,,,358,135,,
2019,70,790,73,1750,69,1716,63,1697,54,1666,296,180,122,1525
2018,36,1122,47,1793,49,1734,47,1741,43,1686,241,225,107,1562
2017,85,630,66,1762,79,1683,61,1727,49,1680,369,150,,
2016,158,379,154,1605,138,1576,143,1554,136,1517,611,84,,
2015,214,237,148,1602,150,1550,122,1588,126,1540,930,37,,
2014,161,317,145,1612,154,1551,111,1609,123,1541,842,42,,
2013,181,280,149,1612,125,1585,113,1605,131,1511,1085,21,,
2012,440,83,,,,,,,,,580,86,,
2011,577,43,,,,,,,,,1393,8,,
2010,1432,1,,,,,,,,,,,,
2008,1754,1,,,,,,,,,,,,
