Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2000,,,,,,,,,,,1393,2,,
1987,256,,,,,,,,,,293,,,
1986,140,,,,,,,,,,336,,,
1985,110,,87,1757,75,1687,56,1755,66,1660,57,,,
1984,38,,41,1835,52,1748,29,1822,55,1685,92,,,
1983,68,,52,1801,56,1716,40,1785,,,,,,
1982,17,,63,1781,74,1688,44,1777,55,1672,,,,
1981,,,54,1806,76,1675,41,1805,30,1768,,,,
1980,31,,31,1885,52,1728,24,1886,21,1832,,,,
1979,11,,8,2032,22,1851,7,2047,9,1911,,,,
1978,56,,27,1894,55,1721,20,1901,42,1735,,,,
1977,39,,42,1813,55,1692,32,1808,,,,,,
1976,34,,39,1831,31,1776,34,1802,45,1710,,,,
1975,55,,56,1779,52,1717,60,1715,53,1674,,,,
1974,318,,,,,,,,,,,,,
