Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1990,1,0,1,0.0%,1-3,25.0%,12-21,36.4%,0-0,-,0,,,,,,,,,,,,
1989,1,0,1,0.0%,1-3,25.0%,16-24,40.0%,1-0,100.0%,0,,,,,,,,,,,,
1988,1,1,0,100.0%,3-1,75.0%,26-21,55.3%,0-0,-,0,,,,,,,,,,,,
1987,18,9,9,50.0%,21-17,55.3%,188-170,52.5%,1-4,20.0%,0,,,,,,,,,,,,SF (Guaruja)
1986,14,6,8,42.9%,19-17,52.8%,184-170,52.0%,0-1,0.0%,0,,,,,,,,,,,,QF (Madrid)
1985,35,15,20,42.9%,35-54,39.3%,412-454,47.6%,3-0,100.0%,0,,,,,,,,,,,,F (Nice)
1984,31,17,14,54.8%,33-34,49.3%,315-318,49.8%,6-4,60.0%,0,,,,,,,,,,,,F (Kitzbuhel)
1983,36,20,16,55.6%,41-37,52.6%,358-334,51.7%,8-2,80.0%,0,,,,,,,,,,,,W (Vina del Mar)
1982,44,24,20,54.5%,51-47,52.0%,494-457,51.9%,11-5,68.8%,0,,,,,,,,,,,,QF (4x)
1981,68,48,20,70.6%,99-51,66.0%,760-610,55.5%,8-8,50.0%,0,,,,,,,,,,,,W (2x)
1980,57,37,20,64.9%,77-51,60.2%,638-538,54.3%,9-7,56.3%,0,,,,,,,,,,,,W (Santiago)
1979,75,56,19,74.7%,118-49,70.7%,862-647,57.1%,12-11,52.2%,0,,,,,,,,,,,,W (3x)
1978,54,30,24,55.6%,73-53,57.9%,624-537,53.7%,3-4,42.9%,0,,,,,,,,,,,,W (Bogota)
1977,64,38,26,59.4%,78-59,56.9%,649-601,51.9%,12-10,54.5%,0,,,,,,,,,,,,F (Munich)
1976,75,46,29,61.3%,91-58,61.1%,744-629,54.2%,15-15,50.0%,0,,,,,,,,,,,,W (2x)
1975,42,21,21,50.0%,44-43,50.6%,400-402,49.9%,7-6,53.8%,0,,,,,,,,,,,,SF (Hilversum)
1974,6,2,4,33.3%,4-8,33.3%,51-56,47.7%,0-1,0.0%,0,,,,,,,,,,,,QF (Buenos Aires)
1973,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,0,,,,,,,,,,,,R32 (Buenos Aires)
1972,1,0,1,0.0%,0-3,0.0%,11-20,35.5%,0-0,-,0,,,,,,,,,,,,R32 (Buenos Aires)
Career,624,370,254,59.3%,789-590,57.2%,6749-6021,52.9%,96-78,55.2%,0,,,,,,,,,,,,
