Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,76,42,34,55.3%,89-73,54.9%,772-705,52.3%,12-12,50.0%,0,,,,,,,,,,,
Clay,461,283,178,61.4%,596-422,58.5%,5004-4334,53.6%,66-49,57.4%,0,,,,,,,,,,,
Grass,39,22,17,56.4%,54-43,55.7%,474-467,50.4%,8-6,57.1%,0,,,,,,,,,,,
Carpet,47,23,24,48.9%,49-51,49.0%,490-505,49.2%,10-11,47.6%,0,,,,,,,,,,,
Grand Slams,58,30,28,51.7%,94-79,54.3%,844-801,51.3%,8-9,47.1%,0,,,,,,,,,,,
Masters,33,18,15,54.5%,33-36,47.8%,310-316,49.5%,7-5,58.3%,0,,,,,,,,,,,
Other Tours,507,306,201,60.4%,607-436,58.2%,5072-4437,53.3%,80-64,55.6%,0,,,,,,,,,,,
Best of 5,91,51,40,56.0%,160-132,54.8%,1464-1382,51.4%,13-9,59.1%,0,,,,,,,,,,,
Best of 3,533,319,214,59.8%,629-458,57.9%,5285-4639,53.3%,83-69,54.6%,0,,,,,,,,,,,
Finals,22,10,12,45.5%,28-32,46.7%,265-285,48.2%,4-2,66.7%,0,,,,,,,,,,,
Semi-finals,43,22,21,51.2%,47-43,52.2%,419-415,50.2%,5-7,41.7%,0,,,,,,,,,,,
Quarter-finals,75,42,33,56.0%,84-66,56.0%,703-625,52.9%,11-17,39.3%,0,,,,,,,,,,,
vs Righties,526,315,211,59.9%,672-495,57.6%,5724-5078,53.0%,81-63,56.3%,0,,,,,,,,,,,
vs Lefties,93,50,43,53.8%,108-94,53.5%,961-902,51.6%,14-14,50.0%,0,,,,,,,,,,,
vs Top 10,63,17,46,27.0%,43-94,31.4%,557-711,43.9%,6-9,40.0%,0,,,,,,,,,,,
