Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2008 Australian Open R64,L vs Federer,43% (3/7),0% (0/2),0/0,0/0,50% (7/14),1/4,0/1,- (0/0),- (0/0)
2007 Newport F,W vs Mahut,75% (9/12),43% (3/7),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2006 Australian Open QF,L vs Nalbandian,50% (4/8),33% (1/3),0/0,0/0,47% (7/15),0/3,0/1,- (0/0),- (0/0)
2004 Roland Garros R128,W vs Clement,69% (27/39),37% (10/27),3/3,1/1,59% (13/22),2/4,2/2,50% (3/6),33% (2/6)
2002 Madrid SF,L vs Novak,56% (5/9),100% (1/1),0/0,0/0,50% (4/8),0/2,0/1,- (0/0),- (0/0)
2001 Canada SF,L vs Rafter,36% (4/11),0% (0/5),0/0,0/0,20% (1/5),0/2,0/1,- (0/0),- (0/0)
2001 Roland Garros R32,W vs Safin,68% (13/19),43% (9/21),3/7,1/2,50% (9/18),1/3,0/0,- (0/0),- (0/0)
2001 Hamburg R32,W vs Agassi,86% (12/14),50% (5/10),2/2,1/1,33% (2/6),0/1,0/0,- (0/0),- (0/0)
1997 Monte Carlo SF,L vs Corretja,45% (5/11),43% (3/7),0/0,0/0,50% (5/10),0/2,0/1,- (0/0),- (0/0)
1995 Estoril R16,W vs Corretja,53% (8/15),50% (4/8),2/5,1/3,60% (3/5),0/0,0/0,- (0/0),- (0/0)
2008 (1 matches),,42.9%,0.0%,-,-,50.0%,25.0%,0.0%,-,-
2007 (1 matches),,75.0%,42.9%,100.0%,100.0%,50.0%,-,-,-,-
2006 (1 matches),,50.0%,33.3%,-,-,46.7%,0.0%,0.0%,-,-
2004 (1 matches),,69.2%,37.0%,100.0%,100.0%,59.1%,50.0%,100.0%,50.0%,33.3%
2002 (1 matches),,55.6%,100.0%,-,-,50.0%,0.0%,0.0%,-,-
Career (10 matches),,62.1%,39.6%,63.2%,62.5%,49.5%,19.0%,28.6%,50.0%,33.3%
