Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,18,Hard,40,22,18,55.0%,7,4,3,57.1%,1991,2010,QF,39,0.97,4.7%,3.2%,56.8%,67.8%,48.7%,59.6%,39.1%,61.7%,42.3%
Roland Garros,20,Clay,37,17,20,45.9%,10,4,6,40.0%,1989,2009,R16,31,0.97,3.6%,1.6%,57.8%,63.6%,51.0%,58.3%,40.3%,57.7%,43.1%
Wimbledon,14,Grass,25,11,14,44.0%,13,8,5,61.5%,1990,2009,R32,24,0.96,3.8%,2.8%,62.8%,69.6%,49.6%,62.1%,36.4%,62.3%,35.6%
US Open,18,Hard,31,13,18,41.9%,19,9,10,47.4%,1990,2009,R32,28,0.92,5.0%,3.2%,58.4%,68.6%,48.9%,60.4%,36.6%,59.1%,39.8%
Olympics,3,,9,6,3,66.7%,4,3,1,75.0%,1992,2004,QF,0,,,,,,,,,,
Davis Cup,7,,12,6,6,50.0%,4,2,2,50.0%,1991,2004,,0,,,,,,,,,,
Monte Carlo Masters,16,Clay,33,17,16,51.5%,10,8,2,80.0%,1990,2008,SF,32,1.03,1.8%,2.4%,57.0%,63.3%,47.7%,56.6%,44.5%,56.9%,39.9%
Rome Masters,14,Clay,32,18,14,56.3%,10,5,5,50.0%,1991,2008,QF,31,1.00,2.4%,1.9%,59.9%,62.6%,50.4%,57.7%,42.3%,56.1%,42.0%
Miami Masters,14,Hard,29,15,14,51.7%,13,8,5,61.5%,1990,2009,R16,27,1.02,4.0%,2.8%,57.5%,66.3%,50.4%,59.5%,41.4%,60.4%,48.1%
Paris Masters,14,Hard,24,10,14,41.7%,9,5,4,55.6%,1990,2009,QF,23,0.95,4.6%,3.2%,57.7%,68.6%,49.4%,60.5%,37.7%,61.3%,31.3%
Indian Wells Masters,13,Hard,29,16,13,55.2%,11,8,3,72.7%,1991,2006,QF,29,1.02,3.3%,3.6%,54.7%,65.4%,53.2%,59.9%,41.1%,60.4%,42.5%
Lyon,13,Hard,26,14,12,53.8%,7,3,4,42.9%,1990,2009,W,25,1.07,7.6%,2.1%,57.5%,73.1%,50.7%,63.6%,39.1%,52.2%,38.9%
Dubai,12,Hard,28,17,11,60.7%,13,6,7,46.2%,1993,2009,W,28,1.04,4.6%,3.4%,55.1%,68.6%,50.6%,60.6%,41.2%,58.9%,44.5%
Toulouse,12,Hard,23,11,12,47.8%,10,6,4,60.0%,1989,2000,F,16,0.95,2.9%,4.0%,56.3%,67.5%,49.7%,59.8%,38.4%,56.5%,41.6%
Marseille,11,Hard,26,16,10,61.5%,7,4,3,57.1%,1995,2009,W,26,1.06,5.7%,2.9%,55.1%,69.2%,54.6%,62.6%,39.6%,64.4%,40.8%
Canada Masters,10,Hard,27,17,10,63.0%,5,3,2,60.0%,1997,2006,SF,27,1.07,5.3%,3.4%,54.0%,69.8%,53.8%,62.4%,40.3%,66.0%,33.6%
Cincinnati Masters,10,Hard,21,11,10,52.4%,8,6,2,75.0%,1997,2006,QF,21,1.00,5.9%,3.3%,55.5%,71.8%,50.4%,62.3%,37.7%,64.7%,37.4%
Hamburg Masters,10,Clay,18,8,10,44.4%,5,2,3,40.0%,1990,2006,QF,16,0.97,2.7%,2.3%,59.5%,63.9%,51.8%,59.0%,39.9%,58.0%,41.7%
