Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2008 Australian Open R64,L vs Federer,9% (1/11),0% (0/1),0/7,80% (8/10),13% (1/8),0/0,0/0,1/1,0/0,0/0
2007 Newport F,W vs Mahut,40% (4/10),75% (3/4),0/1,20% (2/10),50% (1/2),3/3,2/2,0/0,1/1,0/0
2006 Australian Open QF,L vs Nalbandian,17% (2/12),50% (1/2),0/5,67% (8/12),0% (0/8),0/1,0/0,1/4,0/0,0/1
2004 Roland Garros R128,W vs Clement,41% (14/34),71% (10/14),2/8,36% (13/36),31% (4/13),4/9,2/4,12/13,1/2,9/9
2002 Madrid SF,L vs Novak,11% (1/9),100% (1/1),1/4,56% (5/9),20% (1/5),1/1,0/0,1/1,0/0,1/1
2001 Canada SF,L vs Rafter,25% (2/8),0% (0/2),0/2,50% (4/8),0% (0/4),0/0,0/0,0/2,0/0,0/1
2001 Roland Garros R32,W vs Safin,52% (11/21),82% (9/11),2/9,55% (12/22),25% (3/12),5/7,1/1,0/0,1/1,0/0
2001 Hamburg R32,W vs Agassi,47% (7/15),71% (5/7),1/3,25% (4/16),0% (0/4),4/5,2/2,1/2,1/1,0/0
1997 Monte Carlo SF,L vs Corretja,40% (4/10),75% (3/4),0/3,60% (6/10),17% (1/6),1/3,0/0,1/3,0/0,0/1
1995 Estoril R16,W vs Corretja,56% (5/9),80% (4/5),0/2,30% (3/10),33% (1/3),3/4,2/2,0/0,1/1,0/0
2008 (1 matches),,9.1%,0.0%,0.0%,80.0%,12.5%,-,-,100.0%,-,-
2007 (1 matches),,40.0%,75.0%,0.0%,20.0%,50.0%,100.0%,100.0%,-,100.0%,-
2006 (1 matches),,16.7%,50.0%,0.0%,66.7%,0.0%,0.0%,-,25.0%,-,0.0%
2004 (1 matches),,41.2%,71.4%,25.0%,36.1%,30.8%,44.4%,50.0%,92.3%,50.0%,100.0%
2002 (1 matches),,11.1%,100.0%,25.0%,55.6%,20.0%,100.0%,-,100.0%,-,100.0%
Career (10 matches),,36.7%,70.6%,13.6%,45.5%,18.5%,63.6%,81.8%,65.4%,83.3%,76.9%
