Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2008 Australian Open R64,L vs Federer,77.0%,27.7%,3.3%,1/1,2.09,36.2%,73.8%,32.3%,4.8%,2.12,31.4%,88.9%,18.8%,0.0%,2.04,43.5%
2007 Newport F,W vs Mahut,66.7%,35.7%,3.2%,1/1,2.53,48.5%,73.7%,39.3%,2.6%,2.21,52.9%,93.3%,28.6%,6.7%,2.88,43.8%
2006 Australian Open QF,L vs Nalbandian,82.8%,32.1%,7.8%,2/3,1.83,5.0%,82.6%,31.6%,4.3%,1.83,7.7%,83.3%,33.3%,16.7%,1.83,0.0%
2005 US Open R64,L vs Federer,67.6%,38.7%,6.3%,4/3,2.36,28.2%,63.9%,30.4%,5.6%,2.23,15.6%,90.6%,51.7%,9.4%,2.48,45.5%
2005 Australian Open R128,L vs Federer,65.0%,33.3%,11.7%,4/3,2.28,30.9%,69.4%,28.0%,2.8%,2.26,21.7%,93.3%,42.9%,40.0%,2.33,50.0%
2004 Roland Garros R128,W vs Clement,81.6%,46.6%,5.6%,10/3,2.05,6.0%,78.5%,38.9%,4.1%,1.95,15.9%,92.3%,54.2%,7.7%,2.11,0.0%
2002 Madrid SF,L vs Novak,82.0%,36.6%,6.0%,1/2,1.84,15.9%,86.7%,34.6%,6.7%,1.80,20.0%,78.9%,40.0%,5.3%,1.89,10.5%
2001 Canada SF,L vs Rafter,70.9%,41.0%,3.6%,1/1,1.96,60.5%,69.2%,33.3%,0.0%,1.91,53.6%,80.0%,58.3%,13.3%,2.10,80.0%
2001 Roland Garros R32,W vs Safin,83.6%,50.9%,6.0%,3/5,2.38,2.6%,79.5%,43.5%,2.6%,2.40,1.6%,92.6%,60.0%,11.1%,2.35,3.8%
2001 Hamburg R32,W vs Agassi,87.3%,50.6%,4.9%,4/1,1.94,2.9%,91.8%,41.1%,1.6%,1.80,5.3%,86.8%,66.7%,10.5%,2.09,0.0%
1998 Doha F,L vs Korda,67.9%,38.9%,9.4%,3/2,2.19,14.7%,60.0%,41.7%,20.0%,2.20,21.7%,82.8%,37.5%,3.4%,2.18,0.0%
1997 Monte Carlo SF,L vs Corretja,84.3%,47.5%,2.9%,1/1,2.28,14.3%,80.0%,39.3%,5.7%,1.81,43.8%,93.9%,54.8%,0.0%,2.50,0.0%
1995 Estoril R16,W vs Corretja,87.9%,47.1%,1.7%,1/0,2.05,10.0%,88.6%,45.2%,0.0%,2.18,15.6%,100.0%,50.0%,5.0%,1.81,0.0%
1991 Paris R64,L vs Noah,57.3%,39.5%,5.3%,4/0,2.40,39.0%,64.5%,35.0%,6.5%,2.29,42.4%,95.8%,43.5%,8.3%,2.81,25.0%
Career (14 matches),,77.1%,42.7%,5.5%,60.6%,2.15,17.8%,76.8%,37.3%,4.1%,2.09,20.8%,90.3%,50.0%,8.8%,2.22,14.1%
