Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Rome R64,L vs Alcaraz,20.9%,28.4%,42.3%,24.9%,22.0%,29.3%,46.9%,28.5%,31.3%,60.0%,85.7%,20.0%,28.0%,35.0%,-21
2024 Umag QF,L vs Musetti,13.5%,29.2%,46.8%,24.7%,14.7%,33.3%,48.4%,28.0%,58.1%,72.7%,66.7%,7.1%,7.1%,38.5%,-79
2024 Madrid R128,L vs Monteiro,38.0%,52.0%,43.3%,45.0%,37.5%,59.4%,40.0%,48.4%,69.2%,42.1%,0.0%,41.2%,41.2%,50.0%,5
2024 Barcelona R32,W vs Humbert,20.8%,34.0%,60.0%,26.4%,27.0%,43.2%,66.7%,35.1%,58.8%,35.0%,0.0%,7.1%,14.3%,46.2%,-49
2024 Miami R128,L vs Monfils,17.7%,39.2%,56.9%,29.5%,23.7%,49.2%,60.0%,39.5%,56.5%,58.3%,50.0%,0.0%,10.0%,50.0%,-118
2024 Indian Wells R128,W vs Ruusuvuori,19.4%,31.9%,55.4%,26.8%,24.1%,37.0%,61.0%,33.9%,58.3%,53.3%,40.0%,6.3%,18.8%,40.0%,-57
2024 Acapulco R16,L vs Ruud,30.4%,41.1%,59.0%,37.1%,38.2%,50.0%,71.4%,49.4%,21.4%,55.0%,100.0%,18.2%,27.3%,44.4%,-79
2024 Buenos Aires R32,W vs Fils,16.1%,30.4%,59.6%,24.6%,21.1%,36.8%,56.7%,33.7%,47.4%,73.7%,100.0%,5.6%,16.7%,64.7%,-79
2023 Basel R32,L vs Hurkacz,15.2%,31.8%,56.4%,24.7%,20.8%,39.6%,55.3%,34.0%,50.0%,60.7%,100.0%,0.0%,11.8%,58.8%,-118
2023 Shanghai R32,L vs Marozsan,22.7%,33.3%,36.7%,27.7%,27.7%,34.0%,38.2%,34.7%,39.1%,29.2%,33.3%,11.8%,35.3%,33.3%,-2
2023 Davis Cup Finals RR,L vs Mensik,19.6%,39.1%,55.6%,26.1%,24.0%,48.0%,68.4%,36.0%,58.3%,46.2%,50.0%,15.0%,30.0%,41.2%,-7
2023 Geneva R32,L vs Jarry,27.3%,32.7%,44.7%,30.4%,32.1%,35.7%,47.4%,38.2%,35.7%,50.0%,66.7%,24.0%,32.0%,42.1%,33
2023 Banja Luka F,W vs Rublev,16.0%,30.9%,54.4%,25.6%,20.6%,38.1%,68.0%,35.1%,64.0%,71.1%,50.0%,6.5%,16.1%,31.0%,-79
2023 Banja Luka QF,W vs Djokovic,17.6%,32.4%,54.8%,28.5%,22.5%,43.7%,58.2%,38.2%,62.1%,76.2%,70.0%,6.5%,6.5%,48.3%,-79
2023 Banja Luka R16,W vs Barrere,32.7%,49.0%,54.5%,43.7%,30.6%,47.2%,60.0%,45.6%,60.0%,61.9%,66.7%,38.5%,53.8%,37.5%,-79
2023 Miami R32,L vs Alcaraz,21.3%,32.8%,37.5%,27.4%,20.5%,33.3%,45.2%,30.0%,55.6%,42.9%,33.3%,22.7%,31.8%,23.5%,-79
2023 Buenos Aires QF,L vs Alcaraz,18.6%,25.7%,36.4%,22.3%,25.0%,34.1%,30.3%,30.9%,65.0%,70.8%,83.3%,8.3%,12.5%,45.5%,-33
2023 Australian Open R128,L vs Shapovalov,25.5%,35.3%,52.7%,32.7%,30.3%,43.4%,54.7%,40.0%,50.0%,39.5%,25.0%,12.5%,12.5%,47.6%,9
2022 Hamburg R32,L vs Musetti,21.3%,34.3%,57.6%,29.6%,26.7%,42.7%,61.8%,38.7%,66.7%,75.0%,100.0%,9.1%,15.2%,50.0%,-79
2022 Madrid R16,L vs Hurkacz,26.5%,41.2%,50.0%,35.1%,21.1%,39.5%,56.7%,36.6%,52.4%,70.6%,60.0%,33.3%,43.3%,40.0%,-79
Career (51 matches),,22.1%,34.9%,49.5%,29.9%,26.1%,41.5%,53.7%,37.4%,52.0%,54.6%,56.7%,14.6%,21.9%,41.3%,12
