Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,5,1,4,20.0%,3-6,33.3%,39-51,43.3%,1-1,50.0%,3,68.8%,15.6%,3.9%,1.5%,71.2%,65.1%,47.5%,60.0%,36.9%,47.9%,0.92,R16 (Rio de Janeiro)
2025,15,3,12,20.0%,8-27,22.9%,144-190,43.1%,1-1,50.0%,15,67.7%,19.0%,5.3%,1.8%,65.1%,63.3%,47.0%,57.6%,37.3%,47.4%,0.88,R16 (Buenos Aires)
2024,37,18,19,48.6%,47-50,48.5%,470-469,50.1%,5-7,41.7%,36,77.5%,22.7%,3.2%,1.3%,70.5%,67.0%,50.2%,62.0%,37.0%,49.6%,0.97,SF (Barcelona)
2023,47,24,23,51.1%,55-54,50.5%,524-541,49.2%,11-8,57.9%,47,75.9%,21.7%,3.7%,2.0%,67.9%,68.0%,47.7%,61.5%,37.2%,49.3%,0.97,W (Banja Luka)
2022,34,11,23,32.4%,33-55,37.5%,407-472,46.3%,6-8,42.9%,33,72.7%,18.8%,4.2%,1.8%,67.7%,65.6%,50.8%,60.8%,35.7%,48.2%,0.91,QF (Kitzbuhel)
2021,46,18,28,39.1%,52-70,42.6%,581-623,48.3%,5-9,35.7%,46,75.6%,21.5%,3.9%,2.2%,68.0%,65.6%,51.6%,61.1%,36.9%,49.1%,0.95,QF (3x)
2020,30,14,16,46.7%,36-40,47.4%,374-391,48.9%,10-9,52.6%,30,76.2%,21.5%,4.9%,2.3%,67.3%,68.0%,52.5%,62.9%,37.2%,50.0%,1.00,F (Atp Cup)
2019,45,19,26,42.2%,51-62,45.1%,548-566,49.2%,4-9,30.8%,45,75.8%,23.2%,4.1%,2.1%,68.4%,66.7%,50.7%,61.6%,37.0%,49.6%,0.96,W (Umag)
2018,51,26,25,51.0%,73-66,52.5%,688-677,50.4%,11-11,50.0%,51,78.6%,22.2%,4.8%,1.9%,65.5%,68.6%,52.8%,63.2%,37.0%,50.1%,1.00,SF (Lyon)
2017,40,18,22,45.0%,46-57,44.7%,515-521,49.7%,5-17,22.7%,39,79.8%,20.0%,4.1%,1.8%,69.1%,68.1%,54.1%,63.8%,34.7%,49.6%,0.96,QF (3x)
2016,42,19,23,45.2%,48-54,47.1%,481-504,48.8%,9-10,47.4%,42,81.9%,16.1%,5.6%,2.6%,66.9%,70.5%,54.7%,65.3%,33.7%,49.4%,0.97,SF (3x)
2015,38,17,21,44.7%,44-48,47.8%,451-460,49.5%,4-7,36.4%,37,76.6%,22.0%,4.6%,2.3%,63.5%,67.6%,53.1%,62.3%,36.6%,49.5%,0.97,QF (4x)
2014,35,16,19,45.7%,44-51,46.3%,449-480,48.3%,8-7,53.3%,31,77.5%,18.8%,6.4%,3.0%,60.9%,69.0%,50.7%,61.9%,34.8%,48.7%,0.91,QF (2x)
2013,6,0,6,0.0%,1-14,6.7%,51-90,36.2%,0-1,0.0%,4,67.4%,15.2%,4.0%,5.1%,55.6%,72.1%,38.2%,57.0%,33.6%,45.2%,0.78,
2012,3,2,1,66.7%,4-0,100.0%,25-17,59.5%,0-0,-,2,85.7%,21.4%,5.5%,4.1%,57.5%,78.6%,61.3%,71.2%,37.1%,52.5%,1.29,R16 (Belgrade)
2011,8,3,5,37.5%,7-12,36.8%,74-97,43.3%,1-0,100.0%,8,63.5%,22.4%,3.1%,2.9%,63.9%,62.2%,42.6%,55.1%,39.3%,47.2%,0.88,QF (St. Petersburg)
2010,2,0,2,0.0%,0-4,0.0%,15-25,37.5%,0-1,0.0%,1,81.8%,9.1%,6.2%,3.1%,56.9%,75.7%,57.1%,67.7%,25.0%,46.5%,0.77,
Career,484,209,275,43.2%,552-670,45.2%,5836-6174,48.6%,81-106,43.3%,470,76.6%,20.8%,4.5%,2.1%,66.8%,67.5%,51.3%,62.1%,36.3%,49.3%,0.96,
