Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,15,Hard,30,15,15,50.0%,19,12,7,63.2%,2012,2026,R16,30,0.98,5.8%,2.7%,67.1%,68.0%,49.9%,62.0%,37.2%,58.9%,39.8%
Roland Garros,14,Clay,26,12,14,46.2%,5,2,3,40.0%,2012,2025,R16,26,1.03,3.1%,1.9%,64.4%,66.7%,52.3%,61.6%,39.7%,58.7%,45.0%
Wimbledon,13,Grass,20,6,14,30.0%,8,3,5,37.5%,2012,2025,R64,18,0.84,5.0%,2.1%,66.7%,65.3%,56.5%,62.4%,31.5%,57.8%,31.6%
US Open,13,Hard,17,4,13,23.5%,4,1,3,25.0%,2013,2025,R32,16,0.93,4.7%,2.5%,66.9%,66.0%,49.7%,60.6%,36.5%,58.3%,39.5%
Olympics,1,,1,0,1,0.0%,1,1,0,100.0%,2024,2024,R64,1,0.92,0.0%,3.6%,71.4%,65.0%,40.6%,58.0%,38.5%,66.7%,27.3%
Davis Cup,13,,26,13,13,50.0%,11,6,5,54.5%,2012,2026,,14,0.98,3.6%,1.3%,70.0%,69.2%,52.1%,64.1%,35.3%,56.7%,45.3%
Santiago,3,Clay,8,5,3,62.5%,3,3,0,100.0%,2013,2026,QF,8,1.00,2.8%,3.2%,69.4%,64.0%,49.7%,59.6%,40.6%,56.1%,35.6%
Rio de Janeiro,9,Clay,16,6,10,37.5%,5,2,3,40.0%,2014,2026,R16,16,0.96,5.3%,2.3%,63.2%,67.5%,46.2%,59.6%,38.6%,60.3%,37.5%
Umag,12,Clay,26,15,11,57.7%,7,5,2,71.4%,2009,2025,W,25,1.05,4.2%,2.6%,63.2%,66.8%,51.5%,61.2%,40.7%,62.6%,37.3%
Geneva,3,Clay,3,0,3,0.0%,0,0,0,-,2017,2025,R32,3,0.81,4.1%,2.5%,61.4%,66.1%,46.1%,58.4%,33.5%,50.0%,41.7%
Rome Masters,11,Clay,24,13,11,54.2%,10,4,6,40.0%,2014,2025,R16,24,1.05,5.0%,1.9%,67.2%,67.1%,52.7%,62.4%,39.4%,58.0%,38.2%
Madrid Masters,8,Clay,22,14,8,63.6%,8,7,1,87.5%,2016,2025,QF,22,1.06,6.0%,1.3%,68.1%,72.1%,52.5%,65.8%,36.2%,63.2%,36.2%
