Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),132,486,163,1621,172,1559,121,1610,169,1488,,,,
2025,121,513,140,1642,167,1556,102,1641,152,1498,,,,
2024,81,710,85,1723,109,1639,58,1715,166,1495,539,90,,
2023,52,914,72,1749,76,1676,52,1723,139,1512,,,,
2022,80,646,114,1675,118,1615,84,1663,144,1496,,,,
2021,33,1591,93,1698,87,1652,78,1682,136,1526,,,,
2020,26,1785,77,1724,82,1655,43,1728,,,83,1015,,
2019,34,1296,91,1719,102,1653,50,1728,136,1523,110,790,97,1603
2018,48,985,37,1813,41,1755,33,1782,94,1583,240,225,124,1514
2017,75,687,85,1723,89,1667,69,1697,126,1527,318,180,,
2016,93,627,86,1722,88,1666,73,1694,170,1471,208,360,114,1532
2015,76,678,74,1741,85,1666,70,1711,170,1490,174,440,102,1557
2014,69,711,129,1637,134,1575,102,1630,162,1459,224,330,,
2013,116,483,173,1581,173,1518,131,1586,198,1413,1192,17,,
2012,163,333,221,1511,212,1466,171,1522,218,1400,495,112,,
2011,190,261,162,1590,120,1598,231,1438,157,1478,926,29,,
2010,434,83,,,,,,,,,540,83,,
2009,568,46,,,,,,,,,1007,19,,
2008,1080,7,,,,,,,,,1096,16,,
2007,1479,1,,,,,,,,,,,,
