Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Australian Open R32,L vs Tien,2.3%,50.0%,10.2%,65.0%,10.3%,22.9%,3.3%,7.5%,13.3%,1.0%,25.0%,-33,-24
2025 Athens R32,W vs Sakellaridis,3.3%,100.0%,15.2%,89.5%,12.0%,23.3%,0.0%,9.8%,12.5%,3.0%,33.3%,26,24
2025 Wimbledon R128,W vs Cerundolo,3.9%,50.0%,7.4%,64.7%,12.9%,16.7%,0.0%,4.2%,18.2%,0.4%,0.0%,-36,15
2025 Eastbourne R32,W vs Pinnington Jones,3.8%,100.0%,11.0%,90.5%,19.3%,25.0%,33.3%,3.9%,18.2%,1.0%,0.0%,5,11
2025 Roland Garros R128,W vs Jacquet,1.3%,100.0%,13.6%,74.5%,21.3%,29.8%,20.0%,7.0%,23.1%,2.0%,66.7%,-39,-27
2025 Doha R16,L vs Rublev,2.2%,100.0%,2.0%,100.0%,9.8%,11.8%,0.0%,9.8%,40.0%,0.8%,0.0%,-64,-64
2025 Australian Open R32,L vs Alcaraz,0.7%,100.0%,10.2%,68.0%,11.1%,16.4%,8.3%,7.6%,11.8%,1.7%,0.0%,-54,-43
2024 Basel R32,L vs Rublev,0.0%,-,2.9%,66.7%,9.1%,22.2%,0.0%,4.9%,25.0%,0.0%,-,-90,-83
2024 US Open R16,L vs Medvedev,7.1%,50.0%,11.0%,55.6%,14.7%,23.7%,8.3%,9.0%,16.7%,3.8%,9.1%,62,27
2024 US Open R32,W vs Mensik,0.0%,-,13.8%,76.1%,13.3%,16.7%,8.3%,11.6%,16.7%,1.1%,33.3%,-17,7
2024 Bastad F,W vs Nadal,3.8%,50.0%,8.3%,66.7%,19.0%,18.2%,25.0%,7.4%,20.0%,3.0%,83.3%,32,17
2024 Rome R16,L vs Zverev,0.0%,-,5.4%,33.3%,7.1%,9.5%,0.0%,2.7%,6.7%,4.1%,37.5%,-44,-84
2024 Los Cabos QF,L vs Ruud,0.0%,-,4.4%,75.0%,8.5%,12.5%,0.0%,4.8%,33.3%,0.7%,0.0%,-33,-50
2024 Australian Open R16,L vs Medvedev,8.3%,72.7%,16.3%,71.7%,13.6%,25.3%,18.2%,6.3%,17.4%,4.0%,45.5%,29,-2
2024 Australian Open R32,W vs Dimitrov,0.0%,-,9.3%,88.0%,12.4%,22.2%,9.1%,10.9%,16.7%,0.2%,0.0%,-48,-19
2023 Rome R64,L vs Tsitsipas,0.0%,-,2.7%,66.7%,5.4%,4.3%,25.0%,9.7%,29.4%,2.9%,60.0%,-36,-91
2022 US Open R64,L vs Wu,0.0%,-,6.3%,78.3%,10.2%,7.8%,10.0%,5.2%,19.2%,0.0%,-,-50,-33
2022 US Open R128,W vs Shelton,0.0%,-,8.7%,84.4%,13.6%,21.7%,0.0%,13.2%,27.8%,0.6%,66.7%,-19,4
2022 Barletta CH F,W vs Zekic,0.0%,-,10.2%,71.4%,10.1%,14.6%,0.0%,1.1%,10.0%,2.2%,42.9%,-94,-64
2022 Barletta CH SF,W vs Kolar,0.0%,-,4.9%,71.4%,11.9%,15.0%,0.0%,5.0%,33.3%,2.4%,50.0%,-45,-38
Career (24 matches),,1.7%,72.2%,9.5%,75.0%,12.8%,19.3%,8.6%,7.0%,19.0%,1.9%,41.5%,-23,-18
