Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,102,47,55,46.1%,122-146,45.5%,1328-1422,48.3%,35-31,53.0%,97,79.4%,16.9%,6.8%,3.2%,64.9%,71.0%,50.9%,63.9%,34.9%,49.4%,0.97
Clay,48,24,24,50.0%,58-66,46.8%,600-627,48.9%,13-14,48.1%,43,77.4%,21.8%,5.1%,2.8%,64.6%,69.2%,50.7%,62.7%,37.8%,50.1%,1.01
Grass,15,5,10,33.3%,15-26,36.6%,201-220,47.7%,4-6,40.0%,14,82.4%,13.9%,9.2%,2.6%,68.7%,73.0%,50.5%,65.9%,33.4%,49.6%,0.98
Grand Slams,33,17,16,51.5%,63-62,50.4%,653-630,50.9%,13-21,38.2%,33,82.1%,20.4%,6.8%,3.3%,65.6%,71.6%,51.0%,64.5%,36.8%,50.7%,1.04
Masters,38,16,22,42.1%,34-54,38.6%,425-491,46.4%,13-10,56.5%,38,78.5%,14.4%,6.4%,3.3%,61.9%,69.8%,51.8%,62.9%,34.9%,48.8%,0.94
Other Tours,83,39,44,47.0%,87-106,45.1%,932-1010,48.0%,24-18,57.1%,82,77.9%,18.1%,6.5%,2.7%,66.5%,70.7%,50.2%,63.8%,35.0%,49.3%,0.97
Best of 5,33,17,16,51.5%,63-62,50.4%,653-630,50.9%,13-21,38.2%,33,82.1%,20.4%,6.8%,3.3%,65.6%,71.6%,51.0%,64.5%,36.8%,50.7%,1.04
Best of 3,132,59,73,44.7%,132-176,42.9%,1476-1639,47.4%,39-30,56.5%,121,77.9%,16.8%,6.5%,2.9%,65.0%,70.3%,50.7%,63.5%,35.0%,49.1%,0.96
Finals,1,1,0,100.0%,2-0,100.0%,12-5,70.6%,0-0,-,1,77.8%,62.5%,3.8%,1.9%,62.3%,66.7%,60.0%,64.2%,55.4%,59.6%,1.54
Semi-finals,2,1,1,50.0%,3-2,60.0%,25-23,52.1%,0-0,-,2,72.0%,30.4%,2.1%,2.1%,64.3%,67.4%,58.8%,64.3%,42.4%,53.3%,1.19
Quarter-finals,8,2,6,25.0%,4-13,23.5%,74-96,43.5%,1-3,25.0%,8,78.0%,10.7%,6.2%,3.0%,64.3%,70.1%,45.0%,61.1%,33.8%,46.8%,0.87
vs Righties,142,63,79,44.4%,163-208,43.9%,1814-1943,48.3%,38-44,46.3%,133,79.2%,18.0%,6.2%,3.0%,65.1%,70.6%,50.7%,63.7%,35.4%,49.5%,0.97
vs Lefties,23,13,10,56.5%,32-30,51.6%,315-326,49.1%,14-7,66.7%,21,79.2%,17.5%,8.8%,3.2%,66.1%,71.5%,51.0%,64.5%,36.5%,50.2%,1.03
vs Top 10,18,2,16,11.1%,7-37,15.9%,159-254,38.5%,1-5,16.7%,18,66.3%,12.2%,4.8%,3.0%,64.5%,65.6%,42.6%,57.4%,30.7%,44.7%,0.72
