Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Shanghai QF,L vs Vacherot,59% (13/22),30% (3/10),1/2,0/0,33% (1/3),1/3,1/2,50% (3/6),20% (1/5)
2025 Cincinnati QF,L vs Atmane,50% (4/8),50% (1/2),0/0,0/0,64% (7/11),2/4,2/3,- (0/0),- (0/0)
2025 Canada R32,W vs Muller,64% (9/14),100% (3/3),2/5,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2025 Wimbledon R128,L vs Jarry,78% (21/27),50% (3/6),2/4,0/0,64% (7/11),6/9,1/2,- (0/0),- (0/0)
2025 Roland Garros R16,L vs Musetti,59% (13/22),60% (3/5),1/1,0/0,33% (3/9),2/5,1/2,- (0/0),- (0/0)
2025 Roland Garros R128,W vs Bautista Agut,70% (19/27),38% (5/13),3/3,1/1,91% (10/11),5/6,0/0,33% (2/6),40% (2/5)
2025 Rome R32,L vs Moutet,56% (15/27),75% (3/4),1/1,0/0,77% (10/13),4/6,4/5,40% (2/5),33% (2/6)
2025 Rome R64,W vs Comesana,39% (12/31),30% (3/10),2/3,1/2,90% (18/20),0/1,0/0,- (0/0),- (0/0)
2025 Barcelona F,W vs Alcaraz,75% (9/12),60% (3/5),2/6,1/1,80% (4/5),0/0,0/0,57% (4/7),57% (4/7)
2025 Barcelona QF,W vs Ruud,73% (8/11),57% (4/7),2/2,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2025 Miami R64,L vs Opelka,78% (14/18),50% (1/2),1/1,0/0,67% (2/3),0/2,0/1,67% (4/6),17% (1/6)
2025 Indian Wells F,L vs Draper,67% (4/6),- (0/0),0/0,0/0,43% (3/7),1/3,1/2,- (0/0),- (0/0)
2025 Indian Wells SF,W vs Medvedev,56% (10/18),75% (3/4),2/3,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2025 Indian Wells QF,W vs Griekspoor,85% (11/13),40% (6/15),2/3,1/1,25% (1/4),0/1,0/0,- (0/0),- (0/0)
2025 Indian Wells R16,W vs Tsitsipas,82% (9/11),60% (3/5),2/2,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2025 Rotterdam R32,W vs Sonego,63% (10/16),15% (2/13),2/4,1/2,50% (1/2),0/0,0/0,67% (4/6),60% (3/5)
2025 Australian Open R16,L vs Sinner,50% (13/26),20% (1/5),1/2,0/0,50% (4/8),0/3,0/1,- (0/0),- (0/0)
2025 Australian Open R32,W vs Kecmanovic,68% (21/31),47% (7/15),3/3,1/1,38% (3/8),4/6,0/0,50% (3/6),33% (2/6)
2025 Brisbane R32,L vs Lehecka,60% (6/10),22% (2/9),0/0,0/0,17% (1/6),0/2,0/1,- (0/0),- (0/0)
2024 Paris SF,L vs Zverev,47% (8/17),33% (1/3),0/0,0/0,60% (3/5),2/4,1/2,60% (3/5),17% (1/6)
2025 (19 matches),,63.1%,42.1%,64.4%,83.3%,63.2%,49.0%,52.6%,52.4%,37.5%
2024 (21 matches),,67.1%,28.1%,45.2%,62.5%,62.4%,52.9%,61.9%,60.4%,34.7%
2023 (32 matches),,66.4%,41.6%,63.9%,73.1%,64.4%,48.6%,55.2%,68.6%,44.0%
2022 (19 matches),,62.8%,36.0%,50.0%,52.0%,74.4%,46.9%,57.1%,56.7%,42.9%
2021 (2 matches),,54.5%,55.6%,33.3%,-,47.6%,37.5%,0.0%,73.3%,26.7%
Career (94 matches),,65.1%,38.6%,56.8%,66.7%,64.9%,49.6%,56.6%,62.5%,38.8%
