Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Shanghai Masters QF,L vs Vacherot,49,39,1.3,22.6%,18.0%,38,35,1.1,19.6%,18.0%,13.9%,5.7%,1.0,15.2%,15.7%
2025 Cincinnati Masters QF,L vs Atmane,14,20,0.7,12.7%,18.2%,10,19,0.5,10.5%,20.0%,6.3%,4.2%,1.6,20.0%,12.7%
2025 Canada Masters R32,W vs Muller,20,20,1.0,21.1%,21.1%,16,19,0.8,18.8%,22.4%,12.9%,3.5%,0.6,12.6%,22.1%
2025 Wimbledon R128,L vs Jarry,27,45,0.6,9.4%,15.6%,20,36,0.6,8.6%,15.5%,3.4%,4.3%,1.3,23.3%,18.4%
2025 Roland Garros R16,L vs Musetti,50,57,0.9,20.5%,23.4%,48,54,0.9,20.6%,23.2%,15.9%,3.9%,1.2,16.0%,13.5%
2025 Roland Garros R128,W vs Bautista Agut,64,54,1.2,25.4%,21.4%,55,54,1.0,23.2%,22.8%,18.6%,4.6%,0.9,15.1%,17.1%
2025 Rome Masters R32,L vs Moutet,47,58,0.8,19.0%,23.4%,44,50,0.9,19.2%,21.8%,14.8%,3.5%,1.0,14.1%,14.5%
2025 Rome Masters R64,W vs Comesana,46,42,1.1,19.8%,18.1%,43,40,1.1,19.6%,18.3%,16.0%,3.7%,1.0,14.2%,14.7%
2025 Barcelona F,W vs Alcaraz,29,24,1.2,22.5%,18.6%,29,23,1.3,22.8%,18.1%,9.4%,3.9%,0.8,21.7%,25.6%
2025 Barcelona QF,W vs Ruud,17,18,0.9,15.0%,15.9%,17,16,1.1,16.0%,15.1%,9.4%,5.7%,0.5,12.4%,25.7%
2025 Miami Masters R64,L vs Opelka,43,19,2.3,23.1%,10.2%,42,14,3.0,27.1%,9.0%,7.7%,1.9%,1.5,33.9%,22.0%
2025 Indian Wells Masters F,L vs Draper,17,21,0.8,17.3%,21.4%,16,19,0.8,18.8%,22.4%,9.4%,2.4%,1.9,30.6%,16.3%
2025 Indian Wells Masters SF,W vs Medvedev,20,26,0.8,15.4%,20.0%,19,24,0.8,15.2%,19.2%,12.0%,3.2%,0.6,11.5%,18.5%
2025 Indian Wells Masters QF,W vs Griekspoor,33,23,1.4,19.5%,13.6%,27,23,1.2,17.2%,14.6%,11.5%,5.7%,0.5,11.8%,24.3%
2025 Indian Wells Masters R16,W vs Tsitsipas,22,14,1.6,18.5%,11.8%,19,14,1.4,16.8%,12.4%,10.6%,6.2%,1.3,12.6%,10.1%
2025 Rotterdam R32,W vs Sonego,29,24,1.2,17.1%,14.1%,24,24,1.0,15.0%,15.0%,10.0%,5.0%,0.7,13.5%,20.0%
2025 Australian Open R16,L vs Sinner,29,56,0.5,13.5%,26.0%,24,52,0.5,12.9%,28.0%,8.1%,4.8%,1.0,14.9%,15.3%
2025 Australian Open R32,W vs Kecmanovic,85,56,1.5,27.7%,18.2%,69,51,1.4,25.0%,18.5%,17.4%,4.3%,1.6,14.7%,9.1%
2025 Brisbane R32,L vs Lehecka,15,27,0.6,11.5%,20.8%,14,25,0.6,11.6%,20.7%,5.0%,0.0%,1.2,28.5%,23.8%
2024 Paris Masters SF,L vs Zverev,25,29,0.9,17.6%,20.4%,16,27,0.6,13.3%,22.5%,10.0%,3.3%,1.2,17.6%,14.8%
Career (104 matches),,3357,3025,1.1,18.6%,16.7%,2777,2636,1.1,17.3%,16.5%,10.7%,4.9%,1.1,16.9%,15.3%
