Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2017,300,159,,,,,,,,,672,47,,
2016,301,149,,,,,,,,,1296,3,,
2015,857,15,,,,,,,,,932,19,,
2014,130,436,,,,,,,,,,,,
2013,288,183,,,,,,,,,365,160,,
2012,43,1320,27,1859,24,1819,37,1758,31,1711,353,146,,
2011,107,649,65,1773,65,1721,50,1716,47,1672,,,,
2010,125,542,82,1734,86,1676,68,1690,64,1637,207,326,,
2009,34,1645,38,1860,37,1803,45,1763,48,1678,,,,
2008,34,818,40,1839,37,1794,51,1720,77,1591,,,,
2007,136,258,120,1623,117,1583,105,1582,158,1431,,,,
2006,93,301,78,1710,68,1685,104,1595,115,1511,,,,
2005,168,212,,,,,,,,,,,,
2004,492,31,,,,,,,,,,,,
2003,891,5,,,,,,,,,,,,
2002,562,19,,,,,,,,,,,,
