Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2014 Montreal R64,L vs Stephens,60.7%,44.1%,5.4%,3/0,2.46,3.6%,61.5%,41.7%,0.0%,2.45,6.3%,83.3%,50.0%,25.0%,2.48,0.0%
2012 Olympics R32,L vs Williams,65.9%,51.7%,11.4%,2/3,2.84,7.3%,56.7%,47.1%,6.7%,2.93,12.5%,92.3%,58.3%,23.1%,2.72,0.0%
Career (2 matches),,63.0%,47.6%,8.0%,62.5%,2.69,5.8%,59.4%,43.9%,2.9%,2.74,10.0%,88.0%,54.5%,24.0%,2.62,0.0%
