Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2016 ITF Bagnatica R16,L vs Blinkova,78.9%,53.5%,7.8%,4/3,2.57,3.8%,82.7%,58.1%,7.7%,2.58,6.7%,82.4%,46.4%,8.8%,2.54,0.0%
Career (1 matches),,78.9%,53.5%,7.8%,57.1%,2.57,3.8%,82.7%,58.1%,7.7%,2.58,6.7%,82.4%,46.4%,8.8%,2.54,0.0%
