Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,20,9,11,45.0%,9,5,4,55.6%,2007,2019,QF,17,0.91,6.5%,3.4%,65.2%,67.0%,46.6%,59.9%,36.5%,68.1%,37.0%
Roland Garros,11,Clay,16,5,11,31.3%,9,5,4,55.6%,2008,2019,R32,15,0.88,4.6%,2.7%,63.5%,66.5%,47.1%,59.4%,35.6%,62.0%,38.7%
Wimbledon,11,Grass,17,6,11,35.3%,6,1,5,16.7%,2007,2019,R32,13,1.00,8.2%,3.0%,68.6%,71.3%,47.3%,63.7%,36.2%,54.3%,35.3%
US Open,11,Hard,21,10,11,47.6%,8,5,3,62.5%,2006,2019,R16,17,0.94,5.7%,4.3%,63.0%,68.7%,48.2%,61.1%,36.4%,52.6%,37.8%
Davis Cup,1,,1,0,1,0.0%,0,0,0,-,2017,2017,,1,0.53,8.9%,5.4%,66.1%,67.6%,26.3%,53.6%,24.5%,50.0%,100.0%
Halle,10,Grass,22,12,10,54.5%,12,6,6,50.0%,2007,2019,QF,22,0.96,7.2%,3.5%,66.9%,71.8%,49.1%,64.3%,34.3%,62.5%,33.3%
Indian Wells Masters,10,Hard,18,8,10,44.4%,3,2,1,66.7%,2009,2019,R32,18,0.98,6.0%,3.4%,64.8%,68.1%,47.0%,60.7%,38.5%,61.8%,41.7%
Metz,9,Hard,26,17,9,65.4%,10,3,7,30.0%,2009,2019,F,23,1.10,7.9%,2.5%,67.3%,72.2%,48.4%,64.4%,39.0%,66.9%,44.4%
Miami Masters,9,Hard,13,4,9,30.8%,4,2,2,50.0%,2009,2021,R64,13,0.87,6.0%,2.8%,62.8%,64.8%,43.9%,57.1%,37.5%,57.4%,45.1%
Stuttgart,8,Grass,20,12,8,60.0%,11,7,4,63.6%,2008,2019,SF,17,1.08,9.2%,2.0%,63.5%,75.9%,50.9%,66.8%,35.9%,69.4%,38.4%
Munich,8,Clay,14,6,8,42.9%,5,3,2,60.0%,2009,2021,R16,14,0.90,4.3%,3.1%,66.4%,62.3%,49.2%,57.9%,37.9%,47.2%,41.5%
