Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
8,Lukas Lacko [SVK],5,3,62.5%,4,2,2,50.0%,2006,2020,5,1.07,7.8%,3.3%,62.2%,73.9%,53.2%,66.1%,36.4%,55.6%,24.2%
8,Ryan Harrison [USA],4,4,50.0%,4,3,1,75.0%,2011,2017,7,1.04,4.4%,4.3%,63.2%,69.5%,50.5%,62.5%,39.0%,64.9%,45.5%
8,Michael Russell [USA],5,3,62.5%,1,0,1,0.0%,2007,2015,8,1.09,6.5%,4.6%,64.3%,67.1%,48.9%,60.6%,42.9%,69.1%,57.6%
8,Igor Kunitsyn [RUS],3,5,37.5%,2,1,1,50.0%,2007,2012,7,0.98,7.7%,4.4%,55.9%,66.5%,49.5%,59.0%,40.0%,65.5%,38.9%
7,John Isner [USA],3,4,42.9%,8,2,6,25.0%,2009,2020,7,0.97,9.5%,3.4%,62.8%,79.5%,56.7%,71.0%,28.1%,78.4%,34.5%
7,Sergiy Stakhovsky [UKR],5,2,71.4%,3,2,1,66.7%,2007,2019,6,1.27,3.5%,2.1%,58.9%,74.2%,54.0%,65.9%,43.4%,33.3%,43.3%
7,Philipp Petzschner [GER],3,4,42.9%,5,1,4,20.0%,2006,2015,4,0.82,3.9%,2.2%,64.7%,65.7%,49.3%,59.9%,32.8%,41.9%,32.1%
7,Florent Serra [FRA],5,2,71.4%,1,1,0,100.0%,2007,2010,5,1.38,9.9%,3.8%,61.8%,73.2%,59.2%,67.8%,44.2%,65.4%,55.9%
6,Mikhail Kukushkin [KAZ],4,2,66.7%,2,1,1,50.0%,2010,2018,6,1.11,8.1%,4.8%,64.1%,74.6%,44.8%,64.0%,40.0%,60.0%,37.3%
6,Roger Federer [SUI],0,6,0.0%,3,0,3,0.0%,2009,2018,6,0.60,5.3%,2.8%,63.2%,62.8%,47.8%,57.3%,25.8%,60.0%,44.4%
6,Leonardo Mayer [ARG],1,5,16.7%,1,0,1,0.0%,2009,2018,6,0.76,4.4%,2.3%,65.4%,65.0%,39.2%,56.1%,33.4%,58.3%,32.0%
6,Tomas Berdych [CZE],2,4,33.3%,2,1,1,50.0%,2007,2018,6,0.91,3.2%,2.3%,65.9%,66.3%,47.5%,59.9%,36.3%,65.5%,36.8%
6,Adrian Mannarino [FRA],3,3,50.0%,2,1,1,50.0%,2008,2016,5,1.03,7.5%,3.2%,62.0%,69.2%,48.1%,61.2%,39.8%,64.1%,40.0%
6,Michael Berrer [GER],4,2,66.7%,4,3,1,75.0%,2002,2015,4,1.06,8.3%,1.4%,65.7%,69.1%,54.2%,64.0%,38.3%,70.3%,34.4%
6,Janko Tipsarevic [SRB],2,4,33.3%,5,3,2,60.0%,2006,2011,3,0.56,7.1%,4.4%,66.5%,56.2%,34.4%,48.9%,28.4%,54.8%,0.0%
