Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2021,1,0,1,0.0%,1-2,33.3%,12-16,42.9%,0-0,-,1,57.1%,28.6%,5.5%,2.2%,57.1%,63.5%,43.6%,54.9%,38.8%,47.2%,0.86,R128 (Miami Masters)
2020,3,1,2,33.3%,2-4,33.3%,28-30,48.3%,0-1,0.0%,3,77.8%,23.3%,3.5%,4.7%,62.4%,68.9%,51.6%,62.4%,32.4%,47.2%,0.86,R16 (Cologne 1)
2019,15,3,12,20.0%,5-28,15.2%,111-192,36.6%,1-1,50.0%,15,66.2%,7.8%,6.6%,4.2%,64.7%,65.4%,45.2%,58.3%,29.1%,44.1%,0.70,QF (Newport)
2018,48,19,29,39.6%,53-65,44.9%,551-589,48.3%,7-10,41.2%,48,76.8%,20.2%,7.5%,3.3%,59.5%,72.1%,49.4%,62.9%,36.8%,49.5%,0.99,W (Eastbourne)
2017,62,30,32,48.4%,79-83,48.8%,796-823,49.2%,11-16,40.7%,62,80.8%,18.0%,7.8%,3.3%,65.3%,71.5%,49.7%,63.9%,34.7%,49.4%,0.96,F (Geneva)
2016,26,12,14,46.2%,31-31,50.0%,317-292,52.1%,5-11,31.3%,26,81.6%,23.9%,7.3%,2.9%,64.0%,72.4%,51.8%,65.0%,38.0%,51.0%,1.09,SF (Basel)
2015,15,7,8,46.7%,17-20,45.9%,193-200,49.1%,8-8,50.0%,15,79.6%,19.4%,8.5%,2.2%,67.8%,70.0%,50.7%,63.8%,34.6%,49.1%,0.96,QF (2x)
2013,9,4,5,44.4%,9-12,42.9%,100-114,46.7%,3-3,50.0%,9,71.2%,22.1%,4.6%,3.5%,67.7%,66.9%,41.9%,58.9%,37.1%,48.2%,0.90,QF (Halle)
2012,3,0,3,0.0%,2-7,22.2%,35-50,41.2%,1-0,100.0%,3,57.1%,23.8%,7.0%,4.0%,58.6%,60.6%,46.0%,54.6%,38.5%,46.5%,0.85,R32 (2x)
2011,20,2,18,10.0%,9-40,18.4%,177-281,38.6%,2-3,40.0%,20,62.9%,14.8%,2.6%,2.4%,64.2%,60.2%,45.9%,55.1%,33.9%,44.7%,0.75,R16 (Belgrade)
2010,32,14,18,43.8%,28-41,40.6%,307-371,45.3%,9-3,75.0%,31,70.7%,19.5%,4.9%,3.1%,66.0%,66.9%,46.7%,60.0%,35.8%,47.9%,0.90,F (Metz)
2009,39,15,24,38.5%,43-54,44.3%,469-486,49.1%,7-9,43.8%,39,76.2%,22.6%,5.5%,2.4%,64.5%,68.7%,48.3%,61.5%,37.3%,49.5%,0.97,QF (5x)
2008,39,17,22,43.6%,45-49,47.9%,440-474,48.1%,6-11,35.3%,35,76.0%,19.4%,6.3%,2.0%,67.2%,68.5%,49.7%,62.3%,35.9%,48.9%,0.95,SF (Moscow)
2007,16,7,9,43.8%,16-24,40.0%,184-202,47.7%,3-2,60.0%,16,74.5%,21.2%,6.1%,2.4%,62.8%,68.9%,49.7%,61.7%,38.2%,49.9%,1.00,QF (Newport)
2006,6,3,3,50.0%,8-7,53.3%,77-82,48.4%,3-1,75.0%,6,80.5%,15.4%,8.7%,1.7%,71.3%,72.5%,47.4%,65.3%,32.6%,48.8%,0.94,QF (Bangkok)
Career,334,134,200,40.1%,348-467,42.7%,3797-4202,47.5%,66-79,45.5%,329,75.8%,19.4%,6.5%,2.9%,64.5%,69.2%,48.7%,61.9%,35.8%,48.8%,0.94,
