Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,162,72,90,44.4%,161-199,44.7%,1602-1745,47.9%,18-14,56.3%,148,62.4%,33.8%,2.5%,4.0%,65.2%,60.1%,46.1%,55.2%,42.6%,49.0%,0.95
Clay,40,13,27,32.5%,31-58,34.8%,339-456,42.6%,4-3,57.1%,40,53.0%,33.4%,1.7%,4.5%,66.8%,55.8%,43.3%,51.6%,42.8%,47.2%,0.88
Grass,13,2,11,15.4%,7-23,23.3%,120-163,42.4%,1-2,33.3%,13,60.3%,26.5%,1.8%,4.1%,65.5%,58.2%,48.7%,54.9%,38.2%,46.7%,0.85
Grand Slams,32,7,25,21.9%,19-53,26.4%,273-387,41.4%,2-3,40.0%,32,60.6%,22.1%,1.8%,4.3%,65.9%,58.1%,46.2%,54.0%,37.7%,46.0%,0.82
Premiers,20,3,17,15.0%,10-37,21.3%,170-263,39.3%,0-2,0.0%,20,52.6%,26.6%,2.2%,3.5%,65.0%,56.2%,41.9%,51.2%,39.0%,45.3%,0.80
Internationals,131,65,66,49.6%,143-144,49.8%,1327-1342,49.7%,17-13,56.7%,123,63.1%,36.3%,2.6%,4.2%,65.3%,60.0%,47.5%,55.7%,43.7%,49.8%,0.99
Finals,6,3,3,50.0%,7-6,53.8%,58-52,52.7%,0-0,-,5,66.7%,32.7%,2.9%,3.6%,70.0%,60.5%,47.8%,56.7%,42.3%,49.5%,0.98
Semi-finals,9,6,3,66.7%,13-9,59.1%,107-92,53.8%,0-1,0.0%,8,72.7%,34.1%,1.8%,3.4%,69.4%,61.9%,47.6%,57.5%,43.4%,50.5%,1.02
Quarter-finals,17,9,8,52.9%,19-15,55.9%,156-158,49.7%,5-0,100.0%,16,60.5%,35.1%,2.4%,3.0%,69.8%,58.2%,49.0%,55.4%,42.5%,49.2%,0.95
vs Righties,188,76,112,40.4%,173-245,41.4%,1801-2067,46.6%,20-18,52.6%,174,60.5%,33.0%,2.3%,4.1%,65.5%,58.8%,46.2%,54.4%,42.3%,48.4%,0.93
vs Lefties,28,13,15,46.4%,29-34,46.0%,278-301,48.0%,4-1,80.0%,28,61.6%,35.9%,2.2%,4.5%,66.2%,61.4%,43.1%,55.2%,43.5%,49.4%,0.97
vs Top 10,9,1,8,11.1%,3-16,15.8%,45-107,29.6%,0-0,-,9,44.0%,15.6%,1.2%,3.6%,63.1%,49.2%,43.7%,47.2%,33.3%,40.5%,0.63
