Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),121,538,62,1772,57,1733,127,1605,37,1709,,,,
2025,108,586,54,1782,54,1743,126,1609,34,1713,,,,
2024,26,1745,29,1861,26,1823,101,1639,21,1756,7,5940,,
2023,55,902,51,1791,50,1743,130,1588,28,1731,,,,
2022,84,626,91,1715,82,1674,138,1582,52,1667,,,,
2021,75,860,109,1680,106,1634,124,1597,65,1635,,,,
2020,51,1068,63,1750,56,1713,89,1643,,,,,,
2019,63,878,79,1738,74,1699,89,1646,69,1642,160,450,101,1582
2018,72,715,99,1691,80,1674,123,1583,85,1601,296,142,,
2017,94,593,108,1683,105,1644,113,1600,75,1615,88,1025,26,1775
2016,79,689,93,1699,86,1669,127,1586,94,1581,115,665,,
2015,154,375,205,1530,172,1518,248,1412,192,1443,229,306,,
2014,276,182,318,1366,282,1363,307,1326,,,261,268,,
2013,320,139,,,,,,,,,1555,8,,
