Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,17,10,7,58.8%,23-16,59.0%,188-148,56.0%,0-2,0.0%,0,,,,,,,,,,,
Clay,141,101,40,71.6%,212-97,68.6%,1605-1143,58.4%,1-4,20.0%,0,,,,,,,,,,,
Grass,172,125,47,72.7%,265-123,68.3%,2038-1509,57.5%,2-6,25.0%,0,,,,,,,,,,,
Carpet,125,91,34,72.8%,176-84,67.7%,1374-976,58.5%,8-6,57.1%,0,,,,,,,,,,,
Grand Slams,78,52,26,66.7%,114-60,65.5%,899-691,56.5%,0-4,0.0%,0,,,,,,,,,,,
Finals,57,42,15,73.7%,85-41,67.5%,656-495,57.0%,4-3,57.1%,0,,,,,,,,,,,
Semi-finals,76,49,27,64.5%,99-66,60.0%,833-727,53.4%,0-4,0.0%,0,,,,,,,,,,,
Quarter-finals,108,70,38,64.8%,142-88,61.7%,1162-943,55.2%,5-9,35.7%,0,,,,,,,,,,,
vs Righties,260,159,101,61.2%,337-241,58.3%,2833-2452,53.6%,10-13,43.5%,0,,,,,,,,,,,
vs Lefties,32,21,11,65.6%,48-29,62.3%,424-338,55.6%,0-3,0.0%,0,,,,,,,,,,,
