Date,Tournament,Surface,Rd,,Score
05-Oct-1970,Alma Ata,,F,Morozova / Alex Metreveli [RUS] d. Marina Kroschina [URS] / Vladimir Korotkov [RUS],6-4 3-6 6-1
17-Aug-1970,Moscow Intl,,F,Morozova / Alex Metreveli [RUS] d. Tiiu Kivi [EST] / Thomas Lejus [RUS],2-6 6-4 6-3
03-Aug-1970,Sofia,Clay,F,Morozova / Alex Metreveli [RUS] d. Yevgenia Izopaitis [URS] / Sergei Likhachev [RUS],7-9 6-3 6-2
22-Jun-1970,Wimbledon,Grass,F,Rosie Casals [USA] / Ilie Nastase [ROU] d. Morozova / Alex Metreveli [RUS],6-3 4-6 9-7
16-Mar-1970,Alexandria,Clay,F,Morozova / Alex Metreveli [RUS] d. Mrs Gad [] / Aly El Dawoudi [EGY],6-4 10-8
09-Mar-1970,Cairo,Clay,F,Morozova / Alex Metreveli [RUS] d. Lea Pericoli [ITA] / Istvan Gulyas [HUN],8-6 4-6 7-5
16-Feb-1970,Moscow Indoors,Carpet,F,Morozova / Alex Metreveli [RUS] d. Nell Truman / John Clifton [GBR],5-7 9-7 6-3
02-Feb-1970,Moscow All Soviet Chps,Carpet,F,Marina Chuvirina / Teimuraz Kakulia [URS] d. Morozova / Alex Metreveli [RUS],3-6 6-4 6-3
05-Jan-1970,Moscow,Carpet,F,Morozova / Anatoly Korotkov [URS] d. Zaiga Yansone [URS] / Peter Lamp [RUS],6-3 6-4
15-Sep-1969,Turin,Clay,F,Morozova / Vladimir Korotkov [RUS] d. Marina Chuvirina [URS] / Sergei Likhachev [RUS],6-4 1-6 6-2
06-Mar-1969,Cairo,Clay,F,Morozova / Alex Metreveli [RUS] d. Sonja Pachta / Peter Pokorny [AUT],7-5 6-1
28-Oct-1968,Tbilisi,Carpet,F,Galina Baksheeva [URS] / Thomas Lejus [RUS] d. Morozova / Alex Metreveli [RUS],6-4 6-2
24-Jun-1968,Wimbledon,Grass,F,(4) Margaret Court / Ken Fletcher [AUS] d. Morozova / Alex Metreveli [RUS],6-1 14-12
13-Mar-1967,Alexandria,Clay,F,Morozova / Vyacheslav Egorov [URS] d. Anna Dmitrieva [URS] / Vladimir Korotkov [RUS],6-1 13-11
